,gross_income,employee_payroll_tax,employer_payroll_tax,ordinary_income_after_401k,agi,taxable_income,deduction_type,deductions,personal_exemption_amt,pease_limitation_amt,income_tax_before_credits,qualified_income_tax,selected_tax_before_credits,amt,income_tax_before_credits_with_amt,ctc,actc,eitc,income_tax_after_nonrefundable_credits,income_tax_after_credits,tax_burden,tax_wedge,avg_effective_tax_rate,avg_effective_tax_rate_wo_payroll
20,4200.0,0.0,0.0,0.0,4200.0,0.0,standard,12367.5,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,4400.0,0.0,0.0,0.0,4400.0,0.0,standard,12385.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,4600.0,0.0,0.0,0.0,4600.0,0.0,standard,12402.5,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,4800.0,0.0,0.0,0.0,4800.0,0.0,standard,12420.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,5000.0,0.0,0.0,0.0,5000.0,0.0,standard,12437.5,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,5200.0,0.0,0.0,0.0,5200.0,0.0,standard,12455.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,5400.0,0.0,0.0,0.0,5400.0,0.0,standard,12472.5,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,5600.0,0.0,0.0,0.0,5600.0,0.0,standard,12490.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,5800.0,0.0,0.0,0.0,5800.0,0.0,standard,12507.5,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,6000.0,0.0,0.0,0.0,6000.0,0.0,standard,12525.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
