gross_income,employee_payroll_tax,employer_payroll_tax,ordinary_income_after_401k,agi,taxable_income,deduction_type,deductions,personal_exemption_amt,pease_limitation_amt,income_tax_before_credits,qualified_income_tax,selected_tax_before_credits,amt,income_tax_before_credits_with_amt,ctc,actc,eitc,personal_credit,income_tax_after_nonrefundable_credits,income_tax_after_credits,tax_burden,tax_wedge,avg_effective_tax_rate,avg_effective_tax_rate_wo_payroll
10.0,0.765,0.765,10.0,10.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,3.4000000000000004,300,0.0,-3.4,-2.63,-1.87,-0.263,-0.34
20.0,1.53,1.53,20.0,20.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,6.800000000000001,300,0.0,-6.8,-5.27,-3.74,-0.2635,-0.34
30.0,2.295,2.295,30.0,30.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,10.200000000000001,300,0.0,-10.2,-7.9,-5.61,-0.2633,-0.34
40.0,3.06,3.06,40.0,40.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,13.600000000000001,300,0.0,-13.6,-10.54,-7.48,-0.2635,-0.34
50.0,3.825,3.825,50.0,50.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,17.0,300,0.0,-17.0,-13.18,-9.35,-0.2636,-0.34
60.0,4.59,4.59,60.0,60.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,20.400000000000002,300,0.0,-20.4,-15.81,-11.22,-0.2635,-0.34
70.0,5.355,5.355,70.0,70.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,23.8,300,0.0,-23.8,-18.45,-13.09,-0.2636,-0.34
80.0,6.12,6.12,80.0,80.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,27.200000000000003,300,0.0,-27.2,-21.08,-14.96,-0.2635,-0.34
90.0,6.885,6.885,90.0,90.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,30.6,300,0.0,-30.6,-23.72,-16.83,-0.2636,-0.34
100.0,7.65,7.65,100.0,100.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,34.0,300,0.0,-34.0,-26.35,-18.7,-0.2635,-0.34
110.0,8.415000000000001,8.415000000000001,110.0,110.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,37.400000000000006,300,0.0,-37.4,-28.98,-20.57,-0.2635,-0.34
120.0,9.18,9.18,120.0,120.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,40.800000000000004,300,0.0,-40.8,-31.62,-22.44,-0.2635,-0.34
130.0,9.945,9.945,130.0,130.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,44.2,300,0.0,-44.2,-34.26,-24.31,-0.2635,-0.34
140.0,10.71,10.71,140.0,140.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,47.6,300,0.0,-47.6,-36.89,-26.18,-0.2635,-0.34
150.0,11.475000000000001,11.475000000000001,150.0,150.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,51.00000000000001,300,0.0,-51.0,-39.52,-28.05,-0.2635,-0.34
160.0,12.24,12.24,160.0,160.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,54.400000000000006,300,0.0,-54.4,-42.16,-29.92,-0.2635,-0.34
170.0,13.004999999999999,13.004999999999999,170.0,170.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,57.800000000000004,300,0.0,-57.8,-44.8,-31.79,-0.2635,-0.34
180.0,13.77,13.77,180.0,180.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,61.2,300,0.0,-61.2,-47.43,-33.66,-0.2635,-0.34
190.0,14.535,14.535,190.0,190.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,64.60000000000001,300,0.0,-64.6,-50.06,-35.53,-0.2635,-0.34
200.0,15.3,15.3,200.0,200.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,68.0,300,0.0,-68.0,-52.7,-37.4,-0.2635,-0.34
210.0,16.065,16.065,210.0,210.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,71.4,300,0.0,-71.4,-55.34,-39.27,-0.2635,-0.34
220.0,16.830000000000002,16.830000000000002,220.0,220.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,74.80000000000001,300,0.0,-74.8,-57.97,-41.14,-0.2635,-0.34
230.0,17.595,17.595,230.0,230.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,78.2,300,0.0,-78.2,-60.61,-43.01,-0.2635,-0.34
240.0,18.36,18.36,240.0,240.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,81.60000000000001,300,0.0,-81.6,-63.24,-44.88,-0.2635,-0.34
250.0,19.125,19.125,250.0,250.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,85.0,300,0.0,-85.0,-65.88,-46.75,-0.2635,-0.34
260.0,19.89,19.89,260.0,260.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,88.4,300,0.0,-88.4,-68.51,-48.62,-0.2635,-0.34
270.0,20.654999999999998,20.654999999999998,270.0,270.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,91.80000000000001,300,0.0,-91.8,-71.14,-50.49,-0.2635,-0.34
280.0,21.42,21.42,280.0,280.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,95.2,300,0.0,-95.2,-73.78,-52.36,-0.2635,-0.34
290.0,22.185000000000002,22.185000000000002,290.0,290.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,98.60000000000001,300,0.0,-98.6,-76.41,-54.23,-0.2635,-0.34
300.0,22.950000000000003,22.950000000000003,300.0,300.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,102.00000000000001,300,0.0,-102.0,-79.05,-56.1,-0.2635,-0.34
310.0,23.715,23.715,310.0,310.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,105.4,300,0.0,-105.4,-81.69,-57.97,-0.2635,-0.34
320.0,24.48,24.48,320.0,320.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,108.80000000000001,300,0.0,-108.8,-84.32,-59.84,-0.2635,-0.34
330.0,25.245,25.245,330.0,330.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,112.2,300,0.0,-112.2,-86.95,-61.71,-0.2635,-0.34
340.0,26.009999999999998,26.009999999999998,340.0,340.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,115.60000000000001,300,0.0,-115.6,-89.59,-63.58,-0.2635,-0.34
350.0,26.775,26.775,350.0,350.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,119.00000000000001,300,0.0,-119.0,-92.22,-65.45,-0.2635,-0.34
360.0,27.54,27.54,360.0,360.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,122.4,300,0.0,-122.4,-94.86,-67.32,-0.2635,-0.34
370.0,28.305,28.305,370.0,370.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,125.80000000000001,300,0.0,-125.8,-97.5,-69.19,-0.2635,-0.34
380.0,29.07,29.07,380.0,380.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,129.20000000000002,300,0.0,-129.2,-100.13,-71.06,-0.2635,-0.34
390.0,29.835,29.835,390.0,390.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,132.60000000000002,300,0.0,-132.6,-102.76,-72.93,-0.2635,-0.34
400.0,30.6,30.6,400.0,400.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,136.0,300,0.0,-136.0,-105.4,-74.8,-0.2635,-0.34
410.0,31.365,31.365,410.0,410.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,139.4,300,0.0,-139.4,-108.04,-76.67,-0.2635,-0.34
420.0,32.13,32.13,420.0,420.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,142.8,300,0.0,-142.8,-110.67,-78.54,-0.2635,-0.34
430.0,32.895,32.895,430.0,430.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,146.20000000000002,300,0.0,-146.2,-113.3,-80.41,-0.2635,-0.34
440.0,33.660000000000004,33.660000000000004,440.0,440.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,149.60000000000002,300,0.0,-149.6,-115.94,-82.28,-0.2635,-0.34
450.0,34.425,34.425,450.0,450.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,153.0,300,0.0,-153.0,-118.58,-84.15,-0.2635,-0.34
460.0,35.19,35.19,460.0,460.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,156.4,300,0.0,-156.4,-121.21,-86.02,-0.2635,-0.34
470.0,35.955,35.955,470.0,470.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,159.8,300,0.0,-159.8,-123.85,-87.89,-0.2635,-0.34
480.0,36.72,36.72,480.0,480.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,163.20000000000002,300,0.0,-163.2,-126.48,-89.76,-0.2635,-0.34
490.0,37.485,37.485,490.0,490.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,166.60000000000002,300,0.0,-166.6,-129.12,-91.63,-0.2635,-0.34
500.0,38.25,38.25,500.0,500.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,170.0,300,0.0,-170.0,-131.75,-93.5,-0.2635,-0.34
510.0,39.015,39.015,510.0,510.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,173.4,300,0.0,-173.4,-134.38,-95.37,-0.2635,-0.34
520.0,39.78,39.78,520.0,520.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,176.8,300,0.0,-176.8,-137.02,-97.24,-0.2635,-0.34
530.0,40.545,40.545,530.0,530.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,180.20000000000002,300,0.0,-180.2,-139.65,-99.11,-0.2635,-0.34
540.0,41.309999999999995,41.309999999999995,540.0,540.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,183.60000000000002,300,0.0,-183.6,-142.29,-100.98,-0.2635,-0.34
550.0,42.075,42.075,550.0,550.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,187.0,300,0.0,-187.0,-144.93,-102.85,-0.2635,-0.34
560.0,42.84,42.84,560.0,560.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,190.4,300,0.0,-190.4,-147.56,-104.72,-0.2635,-0.34
570.0,43.605,43.605,570.0,570.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,193.8,300,0.0,-193.8,-150.2,-106.59,-0.2635,-0.34
580.0,44.370000000000005,44.370000000000005,580.0,580.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,197.20000000000002,300,0.0,-197.2,-152.83,-108.46,-0.2635,-0.34
590.0,45.135,45.135,590.0,590.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,200.60000000000002,300,0.0,-200.6,-155.47,-110.33,-0.2635,-0.34
600.0,45.900000000000006,45.900000000000006,600.0,600.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,204.00000000000003,300,0.0,-204.0,-158.1,-112.2,-0.2635,-0.34
610.0,46.665,46.665,610.0,610.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,207.4,300,0.0,-207.4,-160.74,-114.07,-0.2635,-0.34
620.0,47.43,47.43,620.0,620.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,210.8,300,0.0,-210.8,-163.37,-115.94,-0.2635,-0.34
630.0,48.195,48.195,630.0,630.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,214.20000000000002,300,0.0,-214.2,-166.0,-117.81,-0.2635,-0.34
640.0,48.96,48.96,640.0,640.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,217.60000000000002,300,0.0,-217.6,-168.64,-119.68,-0.2635,-0.34
650.0,49.724999999999994,49.724999999999994,650.0,650.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,221.00000000000003,300,0.0,-221.0,-171.28,-121.55,-0.2635,-0.34
660.0,50.49,50.49,660.0,660.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,224.4,300,0.0,-224.4,-173.91,-123.42,-0.2635,-0.34
670.0,51.254999999999995,51.254999999999995,670.0,670.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,227.8,300,0.0,-227.8,-176.55,-125.29,-0.2635,-0.34
680.0,52.019999999999996,52.019999999999996,680.0,680.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,231.20000000000002,300,0.0,-231.2,-179.18,-127.16,-0.2635,-0.34
690.0,52.785000000000004,52.785000000000004,690.0,690.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,234.60000000000002,300,0.0,-234.6,-181.81,-129.03,-0.2635,-0.34
700.0,53.55,53.55,700.0,700.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,238.00000000000003,300,0.0,-238.0,-184.45,-130.9,-0.2635,-0.34
710.0,54.315000000000005,54.315000000000005,710.0,710.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,241.4,300,0.0,-241.4,-187.09,-132.77,-0.2635,-0.34
720.0,55.08,55.08,720.0,720.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,244.8,300,0.0,-244.8,-189.72,-134.64,-0.2635,-0.34
730.0,55.845,55.845,730.0,730.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,248.20000000000002,300,0.0,-248.2,-192.35,-136.51,-0.2635,-0.34
740.0,56.61,56.61,740.0,740.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,251.60000000000002,300,0.0,-251.6,-194.99,-138.38,-0.2635,-0.34
750.0,57.375,57.375,750.0,750.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,255.00000000000003,300,0.0,-255.0,-197.62,-140.25,-0.2635,-0.34
760.0,58.14,58.14,760.0,760.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,258.40000000000003,300,0.0,-258.4,-200.26,-142.12,-0.2635,-0.34
770.0,58.905,58.905,770.0,770.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,261.8,300,0.0,-261.8,-202.9,-143.99,-0.2635,-0.34
780.0,59.67,59.67,780.0,780.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,265.20000000000005,300,0.0,-265.2,-205.53,-145.86,-0.2635,-0.34
790.0,60.434999999999995,60.434999999999995,790.0,790.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,268.6,300,0.0,-268.6,-208.17,-147.73,-0.2635,-0.34
800.0,61.2,61.2,800.0,800.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,272.0,300,0.0,-272.0,-210.8,-149.6,-0.2635,-0.34
810.0,61.965,61.965,810.0,810.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,275.40000000000003,300,0.0,-275.4,-213.43,-151.47,-0.2635,-0.34
820.0,62.73,62.73,820.0,820.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,278.8,300,0.0,-278.8,-216.07,-153.34,-0.2635,-0.34
830.0,63.495000000000005,63.495000000000005,830.0,830.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,282.20000000000005,300,0.0,-282.2,-218.7,-155.21,-0.2635,-0.34
840.0,64.26,64.26,840.0,840.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,285.6,300,0.0,-285.6,-221.34,-157.08,-0.2635,-0.34
850.0,65.025,65.025,850.0,850.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,1600.0,0.0,289.0,300,0.0,-289.0,-223.97,-158.95,-0.2635,-0.34
