,gross_income,employee_payroll_tax,employer_payroll_tax,ordinary_income_after_401k,agi,taxable_income,deduction_type,deductions,personal_exemption_amt,pease_limitation_amt,income_tax_before_credits,qualified_income_tax,selected_tax_before_credits,amt,income_tax_before_credits_with_amt,ctc,actc,eitc,personal_credit,income_tax_after_nonrefundable_credits,income_tax_after_credits,tax_burden,tax_wedge,avg_effective_tax_rate,avg_effective_tax_rate_wo_payroll
555,5560.0,425.34,425.34,5560.0,5560.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,425.1764705882353,300,0.0,-425.18,0.16,425.5,0.0,-0.0765
556,5570.0,426.10499999999996,426.10499999999996,5570.0,5570.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,425.9411764705883,300,0.0,-425.94,0.16,426.27,0.0,-0.0765
557,5580.0,426.87,426.87,5580.0,5580.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,426.7058823529412,300,0.0,-426.71,0.16,427.03,0.0,-0.0765
558,5590.0,427.635,427.635,5590.0,5590.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,427.47058823529414,300,0.0,-427.47,0.16,427.8,0.0,-0.0765
559,5600.0,428.4,428.4,5600.0,5600.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,428.2352941176471,300,0.0,-428.24,0.16,428.56,0.0,-0.0765
560,5610.0,429.16499999999996,429.16499999999996,5610.0,5610.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,429.00000000000006,300,0.0,-429.0,0.16,429.33,0.0,-0.0765
561,5620.0,429.93,429.93,5620.0,5620.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,429.764705882353,300,0.0,-429.76,0.17,430.1,0.0,-0.0765
562,5630.0,430.695,430.695,5630.0,5630.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,430.5294117647059,300,0.0,-430.53,0.17,430.86,0.0,-0.0765
563,5640.0,431.46000000000004,431.46000000000004,5640.0,5640.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,431.29411764705884,300,0.0,-431.29,0.17,431.63,0.0,-0.0765
564,5650.0,432.225,432.225,5650.0,5650.0,0.0,standard,18300.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,432.0588235294118,300,0.0,-432.06,0.17,432.39,0.0,-0.0765
