,gross_income,employee_payroll_tax,employer_payroll_tax,ordinary_income_after_401k,agi,taxable_income,deduction_type,deductions,personal_exemption_amt,pease_limitation_amt,income_tax_before_credits,qualified_income_tax,selected_tax_before_credits,amt,income_tax_before_credits_with_amt,ctc,actc,eitc,income_tax_after_nonrefundable_credits,income_tax_after_credits,tax_burden,tax_wedge,avg_effective_tax_rate,avg_effective_tax_rate_wo_payroll
0,200.0,7.65,7.65,100.0,200.0,0.0,standard,12017.5,0.0,0,0.0,0.0,0.0,0,0.0,0,0,7.647058823529412,0.0,-7.65,0.0,7.65,0.0,-0.0382
1,400.0,15.3,15.3,200.0,400.0,0.0,standard,12035.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,15.294117647058824,0.0,-15.29,0.01,15.31,0.0,-0.0382
2,600.0,22.950000000000003,22.950000000000003,300.0,600.0,0.0,standard,12052.5,0.0,0,0.0,0.0,0.0,0,0.0,0,0,22.941176470588236,0.0,-22.94,0.01,22.96,0.0,-0.0382
3,800.0,30.6,30.6,400.0,800.0,0.0,standard,12070.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,30.58823529411765,0.0,-30.59,0.01,30.61,0.0,-0.0382
4,1000.0,38.25,38.25,500.0,1000.0,0.0,standard,12087.5,0.0,0,0.0,0.0,0.0,0,0.0,0,0,38.235294117647065,0.0,-38.24,0.01,38.26,0.0,-0.0382
5,1200.0,45.900000000000006,45.900000000000006,600.0,1200.0,0.0,standard,12105.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,45.88235294117647,0.0,-45.88,0.02,45.92,0.0,-0.0382
6,1400.0,53.55,53.55,700.0,1400.0,0.0,standard,12122.5,0.0,0,0.0,0.0,0.0,0,0.0,0,0,53.529411764705884,0.0,-53.53,0.02,53.57,0.0,-0.0382
7,1600.0,61.2,61.2,800.0,1600.0,0.0,standard,12140.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,61.1764705882353,0.0,-61.18,0.02,61.22,0.0,-0.0382
8,1800.0,68.85,68.85,900.0,1800.0,0.0,standard,12157.5,0.0,0,0.0,0.0,0.0,0,0.0,0,0,68.82352941176471,0.0,-68.82,0.03,68.88,0.0,-0.0382
9,2000.0,76.5,76.5,1000.0,2000.0,0.0,standard,12175.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,76.47058823529413,0.0,-76.47,0.03,76.53,0.0,-0.0382
10,2200.0,84.15,84.15,1100.0,2200.0,0.0,standard,12192.5,0.0,0,0.0,0.0,0.0,0,0.0,0,0,84.11764705882354,0.0,-84.12,0.03,84.18,0.0,-0.0382
11,2400.0,91.80000000000001,91.80000000000001,1200.0,2400.0,0.0,standard,12210.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,91.76470588235294,0.0,-91.76,0.04,91.84,0.0,-0.0382
12,2600.0,99.44999999999999,99.44999999999999,1300.0,2600.0,0.0,standard,12227.5,0.0,0,0.0,0.0,0.0,0,0.0,0,0,99.41176470588236,0.0,-99.41,0.04,99.49,0.0,-0.0382
13,2800.0,107.1,107.1,1400.0,2800.0,0.0,standard,12245.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,107.05882352941177,0.0,-107.06,0.04,107.14,0.0,-0.0382
14,3000.0,114.75,114.75,1500.0,3000.0,0.0,standard,12262.5,0.0,0,0.0,0.0,0.0,0,0.0,0,0,114.70588235294119,0.0,-114.71,0.04,114.79,0.0,-0.0382
15,3200.0,122.4,122.4,1600.0,3200.0,0.0,standard,12280.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,122.3529411764706,0.0,-122.35,0.05,122.45,0.0,-0.0382
