,gross_income,employee_payroll_tax,employer_payroll_tax,ordinary_income_after_401k,agi,taxable_income,deduction_type,deductions,personal_exemption_amt,pease_limitation_amt,income_tax_before_credits,qualified_income_tax,selected_tax_before_credits,amt,income_tax_before_credits_with_amt,ctc,actc,eitc,income_tax_after_nonrefundable_credits,income_tax_after_credits,tax_burden,tax_wedge,avg_effective_tax_rate,avg_effective_tax_rate_wo_payroll
0,25.0,1.9125,1.9125,25.0,25.0,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,1.911764705882353,0.0,-1.91,0.0,1.92,0.0,-0.0764
1,50.0,3.825,3.825,50.0,50.0,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,3.823529411764706,0.0,-3.82,0.01,3.83,0.0002,-0.0764
2,75.0,5.737500000000001,5.737500000000001,75.0,75.0,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,5.735294117647059,0.0,-5.74,-0.0,5.74,-0.0,-0.0765
3,100.0,7.65,7.65,100.0,100.0,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,7.647058823529412,0.0,-7.65,0.0,7.65,0.0,-0.0765
4,125.0,9.5625,9.5625,125.0,125.0,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,9.558823529411766,0.0,-9.56,0.0,9.56,0.0,-0.0765
5,150.0,11.475000000000001,11.475000000000001,150.0,150.0,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,11.470588235294118,0.0,-11.47,0.01,11.48,0.0001,-0.0765
6,175.0,13.3875,13.3875,175.0,175.0,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,13.382352941176471,0.0,-13.38,0.01,13.39,0.0001,-0.0765
7,200.0,15.3,15.3,200.0,200.0,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,15.294117647058824,0.0,-15.29,0.01,15.31,0.0001,-0.0764
8,225.0,17.2125,17.2125,225.0,225.0,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,17.205882352941178,0.0,-17.21,0.0,17.21,0.0,-0.0765
9,250.0,19.125,19.125,250.0,250.0,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,19.117647058823533,0.0,-19.12,0.0,19.13,0.0,-0.0765
10,275.0,21.0375,21.0375,275.0,275.0,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,21.029411764705884,0.0,-21.03,0.01,21.05,0.0,-0.0765
11,300.0,22.950000000000003,22.950000000000003,300.0,300.0,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,22.941176470588236,0.0,-22.94,0.01,22.96,0.0,-0.0765
12,325.0,24.862499999999997,24.862499999999997,325.0,325.0,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,24.85294117647059,0.0,-24.85,0.01,24.87,0.0,-0.0765
13,350.0,26.775,26.775,350.0,350.0,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,26.764705882352942,0.0,-26.76,0.01,26.79,0.0,-0.0765
14,375.0,28.6875,28.6875,375.0,375.0,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,28.676470588235297,0.0,-28.68,0.01,28.7,0.0,-0.0765
15,400.0,30.6,30.6,400.0,400.0,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,30.58823529411765,0.0,-30.59,0.01,30.61,0.0,-0.0765
16,425.0,32.5125,32.5125,425.0,425.0,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,32.5,0.0,-32.5,0.01,32.53,0.0,-0.0765
17,450.0,34.425,34.425,450.0,450.0,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,34.411764705882355,0.0,-34.41,0.02,34.44,0.0,-0.0765
