state_fips,district,income,avg_income_ALL,pre-tcja-tax,current-law-tax,total_returns
4,8,1,17334.0,18955.0,19089.0,412240.0
4,8,2,36017.0,33792.0,34838.0,462640.0
4,8,3,61448.0,51766.0,53139.0,241040.0
4,8,4,86649.0,71847.0,73739.0,154960.0
4,8,5,135192.0,108180.0,111085.0,221060.0
4,8,6,483413.0,356699.0,380985.0,79460.0
4,9,0,5459.0,5749.0,5770.0,222340.0
4,9,1,17334.0,18955.0,19089.0,412240.0
4,9,2,36017.0,33792.0,34838.0,462640.0
4,9,3,61448.0,51766.0,53139.0,241040.0
4,9,4,86649.0,71847.0,73739.0,154960.0
4,9,5,135192.0,108180.0,111085.0,221060.0
4,9,6,483413.0,356699.0,380985.0,79460.0
5,1,0,5579.0,6038.0,6063.0,2553.0
5,1,1,16962.0,18955.0,19149.0,4419.0
5,1,2,35903.0,33126.0,34027.0,4087.0
5,1,3,61236.0,52394.0,53762.0,2106.0
5,1,4,85962.0,72339.0,74286.0,1244.0
5,1,5,130537.0,105951.0,109187.0,1368.0
5,1,6,401830.0,300889.0,322585.0,331.0
5,2,0,5459.0,5808.0,5829.0,16381.0
5,2,1,17097.0,18683.0,18862.0,28130.0
5,2,2,36051.0,32434.0,33272.0,28301.0
5,2,3,61432.0,51938.0,53319.0,14779.0
5,2,4,86648.0,72322.0,74206.0,8969.0
5,2,5,133072.0,107214.0,109982.0,12384.0
5,2,6,472407.0,351124.0,375173.0,4538.0
5,3,0,5360.0,5671.0,5691.0,10364.0
5,3,1,17309.0,18663.0,18840.0,17296.0
5,3,2,35918.0,33193.0,34105.0,17233.0
5,3,3,61356.0,52342.0,53707.0,9325.0
5,3,4,86462.0,72553.0,74439.0,5793.0
5,3,5,134163.0,108090.0,110960.0,7910.0
5,3,6,552831.0,413737.0,438948.0,3089.0
5,4,0,5507.0,5954.0,5980.0,2673.0
5,4,1,17177.0,18653.0,18899.0,4660.0
5,4,2,35779.0,32844.0,33711.0,4119.0
5,4,3,61295.0,52409.0,53767.0,2097.0
5,4,4,86146.0,72367.0,74273.0,1230.0
5,4,5,129205.0,104977.0,107978.0,1304.0
5,4,6,401408.0,300321.0,322925.0,309.0
6,1,0,5335.0,5651.0,5673.0,10279.0
6,1,1,17085.0,17373.0,17620.0,15825.0
6,1,2,36173.0,33183.0,34046.0,15850.0
6,1,3,61596.0,52663.0,54000.0,9301.0
6,1,4,86644.0,72817.0,74631.0,6213.0
6,1,5,133452.0,108343.0,111058.0,8889.0
6,1,6,415662.0,311408.0,333580.0,2471.0
6,2,0,5144.0,5333.0,5358.0,15393.0
6,2,1,17194.0,17617.0,17845.0,22230.0
6,2,2,36382.0,33650.0,34556.0,26678.0
6,2,3,61531.0,52393.0,53763.0,16782.0
6,2,4,86741.0,72581.0,74458.0,11309.0
6,2,5,137122.0,111307.0,114068.0,20104.0
6,2,6,521711.0,386705.0,409560.0,12882.0
6,3,0,5421.0,5733.0,5753.0,16346.0
6,3,1,17288.0,18598.0,18730.0,27271.0
6,3,2,36332.0,34358.0,35422.0,31166.0
6,3,3,61446.0,52132.0,53444.0,18932.0
6,3,4,86523.0,71991.0,73714.0,12238.0
6,3,5,134758.0,108558.0,110983.0,19057.0
6,3,6,377935.0,283988.0,302111.0,5097.0
6,4,0,5156.0,5412.0,5431.0,13633.0
6,4,1,17130.0,17233.0,17473.0,19666.0
6,4,2,36374.0,33205.0,34025.0,21072.0
6,4,3,61816.0,52823.0,54097.0,13907.0
6,4,4,86898.0,72795.0,74439.0,10854.0
6,4,5,136803.0,110843.0,113201.0,20020.0
6,4,6,417844.0,313011.0,334313.0,7422.0
6,5,0,5267.0,5473.0,5492.0,26325.0
6,5,1,17330.0,18107.0,18251.0,41223.0
6,5,2,36525.0,34088.0,35090.0,50644.0
6,5,3,61546.0,52173.0,53507.0,32220.0
6,5,4,86662.0,72067.0,73754.0,21603.0
6,5,5,137082.0,110655.0,113085.0,36715.0
6,5,6,462541.0,345160.0,367003.0,15802.0
6,6,0,5433.0,5717.0,5735.0,81026.0
6,6,1,17103.0,18446.0,18585.0,137295.0
6,6,2,36438.0,34133.0,35199.0,150517.0
6,6,3,61521.0,51625.0,52980.0,90099.0
6,6,4,86578.0,71395.0,73186.0,56641.0
6,6,5,135665.0,108580.0,110994.0,83572.0
6,6,6,375699.0,281378.0,299678.0,21762.0
6,7,0,5448.0,5737.0,5756.0,86510.0
6,7,1,17088.0,18465.0,18605.0,146760.0
6,7,2,36443.0,34137.0,35203.0,160810.0
6,7,3,61520.0,51603.0,52959.0,96280.0
6,7,4,86573.0,71356.0,73150.0,60510.0
6,7,5,135536.0,108430.0,110847.0,89130.0
6,7,6,374833.0,280792.0,298991.0,23080.0
6,8,0,5622.0,5974.0,5991.0,120134.0
6,8,1,17074.0,18674.0,18813.0,226193.0
6,8,2,35974.0,34401.0,35488.0,208875.0
6,8,3,61380.0,53134.0,54551.0,110731.0
6,8,4,86405.0,71820.0,73276.0,68043.0
6,8,5,133931.0,108127.0,110290.0,85778.0
6,8,6,399548.0,299379.0,321185.0,18078.0
6,9,0,5447.0,5788.0,5807.0,46626.0
6,9,1,17182.0,18651.0,18785.0,79014.0
6,9,2,36212.0,34486.0,35578.0,84482.0
6,9,3,61474.0,52821.0,54319.0,49537.0
6,9,4,86635.0,71904.0,73581.0,32139.0
6,9,5,136065.0,109299.0,111571.0,51548.0
6,9,6,409538.0,304715.0,324422.0,20508.0
6,10,0,5579.0,5993.0,6015.0,33918.0
6,10,1,17132.0,18841.0,18972.0,59914.0
6,10,2,36083.0,34703.0,35834.0,60795.0
6,10,3,61351.0,53274.0,54848.0,33272.0
6,10,4,86469.0,72097.0,73802.0,19869.0
6,10,5,133647.0,107766.0,110187.0,25620.0
6,10,6,444304.0,329474.0,351497.0,6209.0
6,11,0,5134.0,5323.0,5343.0,61640.0
6,11,1,17167.0,18131.0,18278.0,87330.0
6,11,2,36718.0,34238.0,35239.0,103300.0
6,11,3,61710.0,51834.0,53097.0,71390.0
6,11,4,86796.0,71526.0,73174.0,50510.0
6,11,5,139748.0,111962.0,114154.0,98060.0
6,11,6,483766.0,354604.0,374532.0,59670.0
6,12,0,5129.0,5304.0,5327.0,45340.0
6,12,1,17331.0,17155.0,17416.0,69680.0
6,12,2,36902.0,32436.0,33220.0,93640.0
6,12,3,61585.0,50495.0,51969.0,68540.0
6,12,4,86784.0,68667.0,70891.0,47000.0
6,12,5,139655.0,106772.0,109963.0,86850.0
6,12,6,729660.0,535252.0,553334.0,59800.0
6,13,0,5211.0,5411.0,5428.0,86640.0
6,13,1,17267.0,18129.0,18278.0,131990.0
6,13,2,36653.0,33780.0,34769.0,165870.0
6,13,3,61536.0,51275.0,52642.0,107130.0
6,13,4,86740.0,70671.0,72534.0,71590.0
6,13,5,139822.0,110888.0,113203.0,133050.0
6,13,6,417497.0,309732.0,328134.0,73970.0
6,14,0,5054.0,5195.0,5218.0,40326.0
6,14,1,17330.0,17789.0,17963.0,57821.0
6,14,2,36831.0,33708.0,34641.0,76466.0
6,14,3,61616.0,51315.0,52646.0,53573.0
6,14,4,86905.0,70541.0,72434.0,37038.0
6,14,5,140452.0,110710.0,113269.0,73128.0
6,14,6,739360.0,540380.0,558584.0,57535.0
6,15,0,5204.0,5402.0,5420.0,84292.0
6,15,1,17258.0,18130.0,18278.0,127796.0
6,15,2,36659.0,33823.0,34813.0,159995.0
6,15,3,61552.0,51327.0,52685.0,103774.0
6,15,4,86745.0,70752.0,72594.0,69611.0
6,15,5,139815.0,110989.0,113293.0,129764.0
6,15,6,423720.0,313946.0,332490.0,72627.0
6,16,0,5795.0,6284.0,6307.0,32163.0
6,16,1,17180.0,19243.0,19368.0,66264.0
6,16,2,35612.0,34700.0,35854.0,59949.0
6,16,3,61175.0,53310.0,54878.0,26904.0
6,16,4,86345.0,72118.0,73828.0,15493.0
6,16,5,133307.0,107845.0,110408.0,19937.0
6,16,6,489635.0,363506.0,389861.0,5629.0
6,17,0,5131.0,5317.0,5336.0,94244.0
6,17,1,17298.0,18102.0,18248.0,135559.0
6,17,2,36550.0,33883.0,34874.0,169952.0
6,17,3,61623.0,52115.0,53589.0,109128.0
6,17,4,86823.0,70796.0,72626.0,77196.0
6,17,5,141502.0,111718.0,114070.0,162027.0
6,17,6,555827.0,411408.0,431523.0,125549.0
6,18,0,5113.0,5287.0,5306.0,79011.0
6,18,1,17319.0,18081.0,18228.0,112269.0
6,18,2,36540.0,33933.0,34921.0,140856.0
6,18,3,61626.0,52161.0,53610.0,90790.0
6,18,4,86846.0,70940.0,72753.0,64882.0
6,18,5,141443.0,111849.0,114232.0,138915.0
6,18,6,612202.0,451701.0,472118.0,113732.0
6,19,0,5108.0,5291.0,5309.0,96420.0
6,19,1,17307.0,18095.0,18240.0,136580.0
6,19,2,36520.0,33912.0,34904.0,171120.0
6,19,3,61648.0,52355.0,53860.0,109700.0
6,19,4,86847.0,70832.0,72653.0,78800.0
6,19,5,141983.0,111956.0,114318.0,170320.0
6,19,6,595414.0,440505.0,461111.0,140310.0
6,20,0,5519.0,5779.0,5796.0,20462.0
6,20,1,17601.0,18845.0,18977.0,41804.0
6,20,2,35837.0,34775.0,35920.0,45185.0
6,20,3,61265.0,52691.0,54114.0,23336.0
