,gross_income,employee_payroll_tax,employer_payroll_tax,ordinary_income_after_401k,agi_before_business_income_deduction,agi,taxable_income,deduction_type,deductions,personal_exemption_amt,pease_limitation_amt,income_tax_before_credits,qualified_income_tax,selected_tax_before_credits,amt,income_tax_before_credits_with_amt,ctc,actc,eitc,income_tax_after_nonrefundable_credits,income_tax_after_credits,tax_burden,tax_wedge,avg_effective_tax_rate,avg_effective_tax_rate_wo_payroll
23,240.0,13.77,13.77,180.0,180.0,229.5,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,72.0,0.0,-72.0,-58.23,-44.46,-0.2426,-0.3
24,250.0,14.34375,14.34375,187.5,187.5,239.0625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,75.0,0.0,-75.0,-60.66,-46.31,-0.2426,-0.3
25,260.0,14.9175,14.9175,195.0,195.0,248.625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,78.0,0.0,-78.0,-63.08,-48.16,-0.2426,-0.3
26,270.0,15.49125,15.49125,202.5,202.5,258.1875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,81.0,0.0,-81.0,-65.51,-50.02,-0.2426,-0.3
27,280.0,16.065,16.065,210.0,210.0,267.75,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,84.0,0.0,-84.0,-67.94,-51.87,-0.2426,-0.3
28,290.0,16.638749999999998,16.638749999999998,217.5,217.5,277.3125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,87.0,0.0,-87.0,-70.36,-53.72,-0.2426,-0.3
29,300.0,17.2125,17.2125,225.0,225.0,286.875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,90.0,0.0,-90.0,-72.79,-55.57,-0.2426,-0.3
30,310.0,17.78625,17.78625,232.5,232.5,296.4375,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,93.0,0.0,-93.0,-75.21,-57.43,-0.2426,-0.3
31,320.0,18.36,18.36,240.0,240.0,306.0,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,96.0,0.0,-96.0,-77.64,-59.28,-0.2426,-0.3
32,330.0,18.93375,18.93375,247.5,247.5,315.5625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,99.0,0.0,-99.0,-80.07,-61.13,-0.2426,-0.3
