StateCode,State,CongressionalDistrict,County,SubPopulation,TotalPopulation,PercentofCD,PercentofTotal
13,GA,9,Towns GA,2532.216,10471,0.0158,0.2418
13,GA,9,Union GA,5095.179,21356,0.0317,0.2386
13,GA,9,White GA,6508.842,27144,0.0405,0.2398
13,GA,10,Baldwin GA,8755.462,45720,0.0614,0.1915
13,GA,10,Barrow GA,13667.63,69367,0.0959,0.197
13,GA,10,Butts GA,5090.271,23655,0.0357,0.2152
13,GA,10,Clarke GA,23125.36711,99538.806,0.1622,0.2323
13,GA,10,Columbia GA,2222.370098,15334.039,0.0156,0.1449
13,GA,10,Glascock GA,705.8,3082,0.005,0.229
13,GA,10,Greene GA,3736.629,15994,0.0262,0.2336
13,GA,10,Gwinnett GA,13078.63062,62115.268,0.0918,0.2106
13,GA,10,Hancock GA,2265.229,9429,0.0159,0.2402
13,GA,10,Henry GA,7943.294439,45781.079,0.0557,0.1735
13,GA,10,Jasper GA,2477.327,13900,0.0174,0.1782
13,GA,10,Jefferson GA,3880.11,16930,0.0272,0.2292
13,GA,10,Johnson GA,2021.039,9980,0.0142,0.2025
13,GA,10,Lincoln GA,1922.729,7996,0.0135,0.2405
13,GA,10,McDuffie GA,3797.164,21875,0.0266,0.1736
13,GA,10,Morgan GA,4004.48,17868,0.0281,0.2241
13,GA,10,Newton GA,4546.339776,21413.531,0.0319,0.2123
13,GA,10,Oconee GA,7404.315,32808,0.0519,0.2257
13,GA,10,Oglethorpe GA,3468.102,14899,0.0243,0.2328
13,GA,10,Putnam GA,4101.476,21218,0.0288,0.1933
13,GA,10,Taliaferro GA,406.277,1717,0.0029,0.2366
13,GA,10,Walton GA,15077.428,83768,0.1058,0.18
13,GA,10,Warren GA,1417.245,5834,0.0099,0.2429
13,GA,10,Washington GA,4866.798,21187,0.0341,0.2297
13,GA,10,Wilkes GA,2564.033,10593,0.018,0.242
13,GA,11,Bartow GA,20189.671,100157,0.1288,0.2016
13,GA,11,Cherokee GA,47202.668,214346,0.3011,0.2202
13,GA,11,Cobb GA,79554.20969,337811.453,0.5075,0.2355
13,GA,11,Fulton GA,9809.098115,39665.831,0.0626,0.2473
13,GA,12,Appling GA,5338.696,18236,0.0358,0.2928
13,GA,12,Bulloch GA,16928.911,70217,0.1135,0.2411
13,GA,12,Burke GA,5255.704,23316,0.0352,0.2254
13,GA,12,Candler GA,2781.842,10998,0.0186,0.2529
13,GA,12,Coffee GA,11993.145,42356,0.0804,0.2832
13,GA,12,Columbia GA,15781.1759,108718.961,0.1058,0.1452
13,GA,12,Effingham GA,3757.332658,21375.449,0.0252,0.1758
13,GA,12,Emanuel GA,5307.497,22598,0.0356,0.2349
13,GA,12,Evans GA,3223.11,11000,0.0216,0.293
13,GA,12,Jeff Davis GA,4337.385,15068,0.0291,0.2879
13,GA,12,Jenkins GA,1914.393,8340,0.0128,0.2295
13,GA,12,Laurens GA,9857.381,48434,0.0661,0.2035
13,GA,12,Montgomery GA,2687.263,9123,0.018,0.2946
13,GA,12,Richmond GA,37222.74,200549,0.2495,0.1856
13,GA,12,Screven GA,3295.713,14593,0.0221,0.2258
13,GA,12,Tattnall GA,7440.78,25520,0.0499,0.2916
13,GA,12,Toombs GA,8083.741,27223,0.0542,0.2969
13,GA,12,Treutlen GA,1784.139,6885,0.012,0.2591
13,GA,12,Wheeler GA,2214.498,7421,0.0148,0.2984
13,GA,13,Clayton GA,41001.70675,156164.427,0.2663,0.2626
13,GA,13,Cobb GA,40940.92271,171613.785,0.2659,0.2386
13,GA,13,Douglas GA,25697.332,132403,0.1669,0.1941
13,GA,13,Fayette GA,2670.726272,17659.528,0.0173,0.1512
13,GA,13,Fulton GA,26194.98111,116497.922,0.1702,0.2249
13,GA,13,Henry GA,17442.63026,97641.489,0.1133,0.1786
13,GA,14,Catoosa GA,12618.765,63942,0.0877,0.1973
13,GA,14,Chattooga GA,5617.469,26015,0.039,0.2159
13,GA,14,Dade GA,3266.273,16633,0.0227,0.1964
13,GA,14,Floyd GA,20858.379,96317,0.145,0.2166
13,GA,14,Gordon GA,12482.326,55186,0.0868,0.2262
13,GA,14,Haralson GA,6221.156,28780,0.0432,0.2162
13,GA,14,Murray GA,8980.562,39628,0.0624,0.2266
13,GA,14,Paulding GA,25776.425,142324,0.1792,0.1811
13,GA,14,Pickens GA,2304.10313,10320.938,0.016,0.2232
13,GA,14,Polk GA,8957.753,41475,0.0623,0.216
13,GA,14,Walker GA,13522.389,68756,0.094,0.1967
13,GA,14,Whitfield GA,23275.015,102599,0.1618,0.2269
15,HI,1,Honolulu HI,65842.18062,680495.224,1,0.0968
15,HI,2,Hawaii HI,28553.778,185079,0.338,0.1543
15,HI,2,Honolulu HI,22505.19338,272711.776,0.2664,0.0825
15,HI,2,Kalawao HI,0,90,0,0
15,HI,2,Kauai HI,10134.845,67091,0.12,0.1511
15,HI,2,Maui HI,23293.529,154834,0.2757,0.1504
16,ID,1,Ada ID,34427.37668,195527.357,0.208,0.1761
16,ID,1,Adams ID,870.752,3976,0.0053,0.219
16,ID,1,Benewah ID,2231.648,9285,0.0135,0.2403
16,ID,1,Boise ID,1543.418,7028,0.0093,0.2196
16,ID,1,Bonner ID,10065.182,40877,0.0608,0.2462
16,ID,1,Boundary ID,2647.906,10972,0.016,0.2413
16,ID,1,Canyon ID,41693.547,188923,0.2519,0.2207
16,ID,1,Clearwater ID,1846.75,8761,0.0112,0.2108
16,ID,1,Gem ID,3456.156,16719,0.0209,0.2067
16,ID,1,Idaho ID,3448.75,16267,0.0208,0.212
16,ID,1,Kootenai ID,31597.007,138494,0.1909,0.2281
16,ID,1,Latah ID,7948.362,37244,0.048,0.2134
16,ID,1,Lewis ID,801,3821,0.0048,0.2096
16,ID,1,Nez Perce ID,8321.5,39265,0.0503,0.2119
16,ID,1,Owyhee ID,2411.717,11526,0.0146,0.2092
16,ID,1,Payette ID,4704.071,22623,0.0284,0.2079
16,ID,1,Shoshone ID,3212.61,12765,0.0194,0.2517
16,ID,1,Valley ID,2160.372,9862,0.0131,0.2191
16,ID,1,Washington ID,2149.559,10198,0.013,0.2108
16,ID,2,Ada ID,42623.60332,196837.643,0.2338,0.2165
16,ID,2,Bannock ID,17809.259,82839,0.0977,0.215
16,ID,2,Bear Lake ID,1304.936,5986,0.0072,0.218
16,ID,2,Bingham ID,9898.393,45607,0.0543,0.217
16,ID,2,Blaine ID,5792.347,21376,0.0318,0.271
16,ID,2,Bonneville ID,25667.424,104234,0.1408,0.2462
16,ID,2,Butte ID,637.337,2891,0.0035,0.2205
16,ID,2,Camas ID,303.638,1117,0.0017,0.2718
16,ID,2,Caribou ID,1475.845,6963,0.0081,0.212
16,ID,2,Cassia ID,5931.737,22952,0.0325,0.2584
16,ID,2,Clark ID,233.701,982,0.0013,0.238
16,ID,2,Custer ID,1016.211,4368,0.0056,0.2326
16,ID,2,Elmore ID,6327.863,27038,0.0347,0.234
16,ID,2,Franklin ID,2732.182,12786,0.015,0.2137
16,ID,2,Fremont ID,2939.895,13242,0.0161,0.222
16,ID,2,Gooding ID,4209.86,15464,0.0231,0.2722
16,ID,2,Jefferson ID,5697.167,26140,0.0312,0.2179
16,ID,2,Jerome ID,6095.985,22374,0.0334,0.2725
16,ID,2,Lemhi ID,1838.858,7936,0.0101,0.2317
16,ID,2,Lincoln ID,1420.4,5208,0.0078,0.2727
16,ID,2,Madison ID,8373.547,37536,0.0459,0.2231
16,ID,2,Minidoka ID,5411.455,20069,0.0297,0.2696
16,ID,2,Oneida ID,893.986,4286,0.0049,0.2086
16,ID,2,Power ID,1681.32,7817,0.0092,0.2151
16,ID,2,Teton ID,2207.034,10170,0.0121,0.217
16,ID,2,Twin Falls ID,19800.829,77230,0.1086,0.2564
17,IL,1,Cook IL,112649.4809,616843.071,0.9137,0.1826
17,IL,1,Will IL,10635.92936,95983.405,0.0863,0.1108
17,IL,2,Cook IL,96914.65073,546566.537,0.7876,0.1773
17,IL,2,Kankakee IL,19103.084,113449,0.1552,0.1684
17,IL,2,Will IL,7037.32396,52798.876,0.0572,0.1333
17,IL,3,Cook IL,118991.5054,618176.64,0.9178,0.1925
17,IL,3,DuPage IL,184.37544,1302.48,0.0014,0.1416
17,IL,3,Will IL,10472.2584,93318.792,0.0808,0.1122
17,IL,4,Cook IL,180675.7374,712813.465,1,0.2535
17,IL,5,Cook IL,136589.4946,651176.542,0.932,0.2098
17,IL,5,DuPage IL,9965.899258,61656.212,0.068,0.1616
17,IL,6,Cook IL,13959.83103,92367.758,0.1329,0.1511
17,IL,6,DuPage IL,53202.92659,363402.209,0.5063,0.1464
17,IL,6,Kane IL,18151.142,109163.563,0.1727,0.1663
17,IL,6,Lake IL,8120.397846,59478.906,0.0773,0.1365
17,IL,6,McHenry IL,11643.013,88389,0.1108,0.1317
17,IL,7,Cook IL,151701.3113,712801.763,1,0.2128
17,IL,8,Cook IL,61377.1966,360109.338,0.4991,0.1704
17,IL,8,DuPage IL,43643.57325,259108.629,0.3549,0.1684
17,IL,8,Kane IL,17944.27155,93606.19,0.1459,0.1917
17,IL,9,Cook IL,143587.1454,712794.449,1,0.2014
17,IL,10,Cook IL,29414.51268,167011.309,0.2466,0.1761
17,IL,10,Lake IL,89850.25115,545806.968,0.7534,0.1646
17,IL,11,Cook IL,754.346898,4014.128,0.0067,0.1879
17,IL,11,DuPage IL,30249.61216,210770.345,0.2682,0.1435
17,IL,11,Kane IL,32104.072,146149,0.2847,0.2197
17,IL,11,Kendall IL,4543.420842,38184.114,0.0403,0.119
17,IL,11,Will IL,45124.48503,313687.523,0.4001,0.1439
17,IL,12,Alexander IL,1345.79,8238,0.012,0.1634
17,IL,12,Franklin IL,7363.818,39561,0.0657,0.1861
17,IL,12,Jackson IL,11383.68,60218,0.1015,0.189
17,IL,12,Jefferson IL,5147.882,38827,0.0459,0.1326
17,IL,12,Madison IL,16614.38785,116806.592,0.1481,0.1422
17,IL,12,Monroe IL,4031.468,32957,0.0359,0.1223
17,IL,12,Perry IL,4233.306,22350,0.0377,0.1894
17,IL,12,Pulaski IL,1003.64,6161,0.0089,0.1629
17,IL,12,Randolph IL,4455.8,33476,0.0397,0.1331
17,IL,12,St. Clair IL,41255.799,270056,0.3678,0.1528
17,IL,12,Union IL,2874.06,17808,0.0256,0.1614
17,IL,12,Williamson IL,12450.9,66357,0.111,0.1876
17,IL,13,Bond IL,729.100223,4313.234,0.0064,0.169
17,IL,13,Calhoun IL,758.744,5089,0.0067,0.1491
17,IL,13,Champaign IL,31994.80904,150993.573,0.281,0.2119
17,IL,13,Christian IL,6215.172,34800,0.0546,0.1786
17,IL,13,De Witt IL,2938.71,16561,0.0258,0.1774
17,IL,13,Greene IL,2090.904,13886,0.0184,0.1506
17,IL,13,Jersey IL,2855.476,22985,0.0251,0.1242
17,IL,13,Macon IL,15686.92,110768,0.1378,0.1416
17,IL,13,Macoupin IL,7160.884,47765,0.0629,0.1499
17,IL,13,Madison IL,12069.22379,98746.602,0.106,0.1222
17,IL,13,McLean IL,8767.717,60663.102,0.077,0.1445
17,IL,13,Montgomery IL,5041.759,30104,0.0443,0.1675
17,IL,13,Piatt IL,2992.602,16729,0.0263,0.1789
17,IL,13,Sangamon IL,14553.86129,99385.567,0.1278,0.1464
17,IL,14,DeKalb IL,6986.880606,36990.965,0.0699,0.1889
17,IL,14,DuPage IL,3068.716311,20684.125,0.0307,0.1484
17,IL,14,Kane IL,20878.08145,166350.247,0.209,0.1255
17,IL,14,Kendall IL,9069.668158,76551.886,0.0908,0.1185
17,IL,14,Lake IL,15208.769,98176.126,0.1522,0.1549
17,IL,14,McHenry IL,32440.128,220371,0.3247,0.1472
17,IL,14,Will IL,12257.03121,93704.28,0.1227,0.1308
17,IL,15,Bond IL,2278.472777,13454.766,0.0184,0.1693
17,IL,15,Champaign IL,10680.71696,50087.427,0.0862,0.2132
17,IL,15,Clark IL,3438.04,16335,0.0277,0.2105
17,IL,15,Clay IL,2973.44,13815,0.024,0.2152
17,IL,15,Clinton IL,5279.4,37762,0.0426,0.1398
17,IL,15,Coles IL,9945.89,53873,0.0802,0.1846
17,IL,15,Crawford IL,4204.63,19817,0.0339,0.2122
17,IL,15,Cumberland IL,2023.54,11048,0.0163,0.1832
17,IL,15,Douglas IL,3684.37,19980,0.0297,0.1844
17,IL,15,Edgar IL,3436.2,18576,0.0277,0.185
17,IL,15,Edwards IL,1094.88,6721,0.0088,0.1629
17,IL,15,Effingham IL,5734.924,34242,0.0463,0.1675
17,IL,15,Fayette IL,3711.343,22140,0.0299,0.1676
17,IL,15,Ford IL,1124.6462,6355.42,0.0091,0.177
17,IL,15,Gallatin IL,866.78,5589,0.007,0.1551
17,IL,15,Hamilton IL,1345.79,8457,0.0109,0.1591
17,IL,15,Hardin IL,707.11,4320,0.0057,0.1637
17,IL,15,Jasper IL,2044.24,9698,0.0165,0.2108
17,IL,15,Johnson IL,2052.9,12582,0.0166,0.1632
17,IL,15,Lawrence IL,3600.65,16833,0.0291,0.2139
17,IL,15,Madison IL,6562.184366,53728.806,0.0529,0.1221
17,IL,15,Marion IL,5206.14,39437,0.042,0.132
17,IL,15,Massac IL,2509.1,15429,0.0202,0.1626
17,IL,15,Moultrie IL,2664.22,14846,0.0215,0.1795
17,IL,15,Pope IL,729.92,4470,0.0059,0.1633
17,IL,15,Richland IL,3438.04,16233,0.0277,0.2118
17,IL,15,Saline IL,4060.18,24913,0.0328,0.163
17,IL,15,Shelby IL,3978.754,22363,0.0321,0.1779
17,IL,15,Vermilion IL,14749.941,81625,0.119,0.1807
17,IL,15,Wabash IL,1916.04,11947,0.0155,0.1604
17,IL,15,Washington IL,1947.712,14716,0.0157,0.1324
17,IL,15,Wayne IL,3600.65,16760,0.0291,0.2148
17,IL,15,White IL,2349.43,14665,0.019,0.1602
17,IL,16,Boone IL,7627.014,54165,0.0695,0.1408
17,IL,16,Bureau IL,5596.188,34978,0.051,0.16
17,IL,16,DeKalb IL,12830.92739,68169.035,0.117,0.1882
17,IL,16,Ford IL,1377.8388,7725.58,0.0126,0.1783
17,IL,16,Grundy IL,6139.824,50063,0.056,0.1226
17,IL,16,Iroquois IL,5299.38,29718,0.0483,0.1783
17,IL,16,La Salle IL,16312.671,113924,0.1487,0.1432
17,IL,16,Lee IL,5929.188,36031,0.054,0.1646
17,IL,16,Livingston IL,7036.399,38950,0.0641,0.1807
17,IL,16,Ogle IL,7458.104,53497,0.068,0.1394
17,IL,16,Putnam IL,942.903,6006,0.0086,0.157
17,IL,16,Stark IL,210.48129,1353.41,0.0019,0.1555
17,IL,16,Will IL,3747.43104,28067.124,0.0342,0.1335
17,IL,16,Winnebago IL,29201.1453,190165.835,0.2662,0.1536
17,IL,17,Carroll IL,2240.958,15387,0.0214,0.1456
17,IL,17,Fulton IL,6031.86,37069,0.0575,0.1627
17,IL,17,Henderson IL,1215.614,7331,0.0116,0.1658
17,IL,17,Henry IL,6840.628,50486,0.0652,0.1355
17,IL,17,Jo Daviess IL,3278.928,22678,0.0312,0.1446
17,IL,17,Knox IL,8397.581,52919,0.08,0.1587
17,IL,17,Mercer IL,2268.624,16434,0.0216,0.138
17,IL,17,Peoria IL,11552.62192,84935.836,0.1101,0.136
17,IL,17,Rock Island IL,21526.445,147546,0.2051,0.1459
17,IL,17,Stephenson IL,6722.2,47711,0.0641,0.1409
17,IL,17,Tazewell IL,5924.07984,49009.554,0.0564,0.1209
17,IL,17,Warren IL,2929.514,17707,0.0279,0.1654
17,IL,17,Whiteside IL,8442.938,58498,0.0805,0.1443
17,IL,17,Winnebago IL,17573.8587,105100.165,0.1675,0.1672
17,IL,18,Adams IL,10990.452,67103,0.1068,0.1638
17,IL,18,Brown IL,1137.576,6937,0.0111,0.164
17,IL,18,Cass IL,2047.226,13642,0.0199,0.1501
