Zip,AGI Bracket,Filers,Itemizers,AGI,SLIncomeTax,PropertyTax,MortgageInterest,Contributions,contrib + mortgage,Total SALT,Exhibit: S-L Income Tax Effective Rate
10069,"$100,000 under $200,000",560,510,149509.8039,15180,10064.28571,15320,3322.222222,18642.22222,25244.28571,0.101531803
10075,"$100,000 under $200,000",3070,2820,140815.9574,13653.90335,10952.23881,8195.798319,3495.111111,11690.90943,24606.14215,0.096962756
10128,"$100,000 under $200,000",6410,5760,141827.2569,13458.09353,10978.57143,8821.73913,3329.580574,12151.3197,24436.66495,0.094890741
10280,"$100,000 under $200,000",1210,150,145477.2727,15181.48148,10100,10584,2303.75,12887.75,25281.48148,0.10435638
10282,"$100,000 under $200,000",390,1100,146742.8571,19038.23529,10700,9980,2662.5,12642.5,29738.23529,0.129738753
10301,"$100,000 under $200,000",2480,350,138441.3636,11958.85167,5067.065868,10172.78912,3311.386139,13484.17525,17025.91754,0.086382071
10302,"$100,000 under $200,000",990,2200,135962.2222,11618.3908,3944,10226.08696,3186.746988,13412.83394,15562.3908,0.085453081
10303,"$100,000 under $200,000",1210,900,130630.0885,11213.63636,3306.521739,10348.31461,3654.285714,14002.60032,14520.1581,0.085842676
10304,"$100,000 under $200,000",2290,1130,136630.4762,11414.92537,5877.575758,11140.97222,3365.263158,14506.23538,17292.50113,0.083545968
10305,"$100,000 under $200,000",3010,2100,135844.8905,11534.58647,4418.636364,10011.9171,2845.669291,12857.58639,15953.22283,0.084909977
10306,"$100,000 under $200,000",5240,2740,138243.1866,11498.47826,4911.358025,10559.09091,2782.666667,13341.75758,16409.83629,0.083175732
10307,"$100,000 under $200,000",1490,4770,140509.8592,11844.85294,6138.52459,12028.7037,3033.834586,15062.53829,17983.37753,0.084299088
10308,"$100,000 under $200,000",3080,1420,139491.844,11897.42647,4995.102041,10587.44186,2863.94052,13451.38238,16892.52851,0.085291198
10309,"$100,000 under $200,000",3480,2820,141077.9817,12056.32911,5843.661972,11765.35433,2929.903537,14695.25787,17899.99109,0.085458616
10310,"$100,000 under $200,000",1830,3270,139701.1905,12032.5,4573.426573,10565.11628,3138.607595,13703.72387,16605.92657,0.086130261
10312,"$100,000 under $200,000",6890,1680,138952.0701,11576.45108,5315.090909,10870.10309,2902.857143,13772.96024,16891.54199,0.083312549
10314,"$100,000 under $200,000",7880,6280,138407.0028,11559.79532,4797.847682,10310.13384,3376.304024,13686.43787,16357.643,0.083520307
10451,"$100,000 under $200,000",700,7140,125201.6667,10910.16949,1792.857143,5500,4495.918367,9995.918367,12703.02663,0.087140769
10452,"$100,000 under $200,000",500,600,124275.6098,10782.92683,3400,8900,4964.864865,13864.86486,14182.92683,0.086766236
10453,"$100,000 under $200,000",560,410,128595.8333,11210.41667,3300,8958.333333,4584.615385,13542.94872,14510.41667,0.087175582
10454,"$100,000 under $200,000",230,480,150804.7619,12842.85714,3277.777778,9366.666667,3876.470588,13243.13725,16120.63492,0.085162146
10455,"$100,000 under $200,000",270,210,139363.6364,12236.36364,1910,7550,4300,11850,14146.36364,0.087801696
10456,"$100,000 under $200,000",520,220,124133.3333,10800,2435.294118,6950,4834.210526,11784.21053,13235.29412,0.087003222
10457,"$100,000 under $200,000",460,450,123402.5641,11264.86486,3146.153846,8133.333333,4300,12433.33333,14411.01871,0.091285501
10458,"$100,000 under $200,000",760,390,126375.8065,11086.88525,3725,8318.75,3607.843137,11926.59314,14811.88525,0.087729492
10459,"$100,000 under $200,000",350,620,133553.125,11181.25,3600,9180,3800,12980,14781.25,0.083721366
10460,"$100,000 under $200,000",480,320,127764.2857,10964.28571,3319.047619,8433.333333,4766.666667,13200,14283.33333,0.085816515
