Zip,AGI Bracket,Filers,Itemizers,AGI,SLIncomeTax,PropertyTax,MortgageInterest,Contributions,contrib + mortgage,Total SALT,Exhibit: S-L Income Tax Effective Rate
0,"$75,000 under $100,000",817760,536320,87164.66289,5778.221188,6522.579679,7020.789371,2639.969776,9660.759147,12300.80087,0.066290868
10001,"$75,000 under $100,000",1340,1050,86866.66667,8167,4980,6300,1931.944444,8231.944444,13147,0.094017652
10002,"$75,000 under $100,000",2690,1990,86434.17085,7769.430052,4541.176471,5834.883721,1938.28125,7773.164971,12310.60652,0.089888408
10003,"$75,000 under $100,000",3340,2730,87040.65934,7813.02682,8712.676056,6841.935484,1824.858757,8666.794241,16525.70288,0.089762955
10004,"$75,000 under $100,000",200,160,84656.25,8273.333333,7750,11066.66667,2377.777778,13444.44444,16023.33333,0.097728559
10005,"$75,000 under $100,000",660,550,87225.45455,8162.962963,5833.333333,9825,1624.137931,11449.13793,13996.2963,0.093584642
10007,"$75,000 under $100,000",220,180,86327.77778,9937.5,11160,12325,3000,15325,21097.5,0.115113585
10009,"$75,000 under $100,000",3710,2700,86843.7037,7902.651515,4248.571429,5540,1739.64497,7279.64497,12151.22294,0.090998555
10010,"$75,000 under $100,000",1950,1570,87537.57962,7798,7085,5394.285714,1725.471698,7119.757412,14883,0.089081741
10011,"$75,000 under $100,000",3260,2670,87403.74532,8172.941176,7294.047619,6712.328767,1967.010309,8679.339076,15466.9888,0.093507906
10012,"$75,000 under $100,000",1420,1080,87440.74074,8122.641509,7377.777778,8692.307692,1622.058824,10314.36652,15500.41929,0.0928931
10013,"$75,000 under $100,000",1140,870,87017.24138,7975.903614,9235,11086.66667,2210.909091,13297.57576,17210.90361,0.091658888
10014,"$75,000 under $100,000",2110,1720,87284.30233,7986.144578,7704.878049,7385.294118,1909.565217,9294.859335,15691.02263,0.091495771
10016,"$75,000 under $100,000",3880,3150,87137.14286,7953.114754,7407.792208,7323.809524,1781.25,9105.059524,15360.90696,0.091271236
10017,"$75,000 under $100,000",1290,1020,87449.01961,7459.375,8293.75,6857.692308,2252.238806,9109.931114,15753.125,0.085299698
