,zip,Filers,Itemizers,AGI,pre-tcja-tax,current-law-tax
0,0,817760,536320,87164.66288999999,5960.47,5198.76
1,10001,1340,1050,86866.66667,6003.16,5163.0
2,10002,2690,1990,86434.17085,6132.56,5111.1
3,10003,3340,2730,87040.65934,5457.22,5183.88
4,10004,200,160,84656.25,4458.27,4897.75
5,10005,660,550,87225.45455,5447.0,5206.05
6,10007,220,180,86327.77777999999,3665.79,4939.33
7,10009,3710,2700,86843.7037,6291.93,5160.24
8,10010,1950,1570,87537.57962,6010.22,5243.51
9,10011,3260,2670,87403.74532,5668.61,5227.45
10,10012,1420,1080,87440.74074,5423.89,5231.89
11,10013,1140,870,87017.24137999999,4656.31,5181.07
12,10014,2110,1720,87284.30232999999,5524.76,5213.12
13,10016,3880,3150,87137.14286,5580.68,5195.46
14,10017,1290,1020,87449.01961,5567.89,5232.88
15,10018,640,490,87502.04082000001,5080.72,5239.24
16,10019,2570,2050,87216.58537,5611.13,5204.99
17,10021,2520,2030,87078.81773,5403.19,5188.46
18,10022,2100,1710,87034.50292,5143.99,5183.14
19,10023,3320,2630,87076.80608,5396.66,5188.22
20,10024,2840,2220,87129.27928,5330.54,5194.51
21,10025,4180,3030,87135.31353,5852.83,5195.24
22,10026,1440,1110,87137.83784,5968.23,5195.54
23,10027,1770,1300,86532.30769,6058.46,5122.88
24,10028,2930,2280,87291.66667,5482.09,5214.0
25,10029,1820,1210,86544.6281,6146.53,5124.36
26,10030,730,530,86924.5283,5858.57,5169.94
27,10031,1640,1170,85518.80342000001,5904.94,5001.26
28,10032,1470,1010,86495.0495,6038.02,5118.41
29,10033,1530,1000,86289.0,6112.5,5093.68
30,10034,1350,890,86602.24719,6158.03,5131.27
31,10035,930,720,85752.77777999999,6066.92,5029.33
32,10036,2020,1560,87058.97436000001,5301.55,5186.08
33,10037,1010,760,86765.78947,6361.5,5150.89
34,10038,1120,860,87086.04651,6210.44,5189.33
35,10039,750,550,85625.45455,6184.62,5014.05
36,10040,1360,870,85856.32184,6161.56,5041.76
37,10044,450,310,88451.6129,6136.61,5353.19
38,10065,1680,1340,87350.74627,5236.45,5221.09
39,10069,180,140,86571.42857,3866.43,4743.57
40,10075,1650,1310,87435.87786000001,5309.18,5231.31
41,10128,3690,2860,86892.30769,5440.15,5166.08
42,10280,450,340,87497.05882,4749.87,5238.65
43,10301,1690,1270,86898.4252,5811.71,5166.81
44,10302,660,510,86941.17647,5803.9,5171.94
45,10303,1010,820,86887.80488,5909.36,5165.54
46,10304,1470,1160,87377.58621000001,5747.85,5224.31
47,10305,2030,1580,87405.06328999999,5928.91,5227.61
48,10306,2950,2300,87261.73913,5809.49,5210.41
49,10307,640,510,88398.03922,5641.86,5346.76
50,10308,1660,1320,87508.33333,5865.96,5240.0
51,10309,1630,1360,87269.11765,5531.43,5211.29
52,10310,1030,810,87450.61727999999,5864.29,5233.07
53,10312,3460,2790,87299.64158,5729.1,5214.96
54,10314,4650,3630,87165.84022,5855.3,5198.9
55,10451,1000,730,86116.43836,6410.75,5072.97
56,10452,960,660,85807.57576,5943.1,5035.91
57,10453,880,630,86188.88889,5825.53,5081.67
58,10454,330,230,86608.69565,5755.7,5132.04
59,10455,510,360,86308.33333,6231.9,5096.0
60,10456,950,660,85748.48485,6049.95,5028.82
61,10457,800,560,86178.57143,5696.38,5080.43
62,10458,1130,760,86085.52632,6097.7,5069.26
63,10459,650,470,85085.10638,5631.51,4949.21
64,10460,770,580,86141.37931,5913.62,5075.97
65,10461,2260,1570,86543.94903999999,5839.91,5124.27
66,10462,3060,2110,86318.00948,6110.39,5097.16
67,10463,3130,2140,86740.18692000001,6451.57,5147.82
68,10464,250,200,84080.0,5361.48,4828.6
69,10465,2150,1620,87054.93827,5683.6,5185.59
70,10466,2090,1640,86677.43902,5613.51,5140.29
71,10467,2140,1510,85863.57616,5996.51,5042.63
72,10468,1320,900,86363.33333,6349.01,5102.6
73,10469,2530,2000,86275.0,5492.87,5092.0
74,10470,660,470,87206.38298,6079.59,5203.77
75,10471,1260,960,86975.0,6235.85,5176.0
76,10472,1010,700,85717.14286,5907.71,5025.06
77,10473,1790,1370,86324.08759,5858.82,5097.89
78,10474,130,100,84520.0,5994.33,4881.4
79,10475,2400,1740,86452.29885,7020.0,5113.28
80,10501,60,30,96900.0,6492.5,6367.0
81,10502,240,180,85983.33333,4420.69,5057.0
82,10504,270,190,86884.21053,4176.79,5165.11
83,10506,150,110,88890.90909,3546.14,5094.58
84,10507,200,130,88384.61537999999,5976.84,5345.15
85,10509,970,690,87450.72464,6062.13,5233.09
86,10510,290,200,89875.0,4896.33,5524.0
87,10511,110,70,93657.14286,6630.07,5977.86
88,10512,1340,1000,87564.0,5887.17,5246.68
89,10514,250,180,89533.33333,4122.27,5446.42
90,10516,280,170,89558.82353,6332.57,5486.06
91,10518,50,30,95733.33333,6645.0,6227.0
92,10520,580,380,86905.26316,5498.75,5167.63
93,10522,500,330,87360.60606,5058.85,5222.27
94,10523,490,300,87393.33333,5456.16,5226.2
95,10524,220,160,87731.25,5326.21,5266.75
96,10526,70,50,84280.0,5417.0,4852.6
97,10528,530,330,88106.06061,5487.37,5311.73
98,10530,870,650,87280.0,5864.78,5212.6
