,zip,Filers,Itemizers,AGI,pre-tcja-tax,current-law-tax
0,0,817760,536320,87164.66288999999,4337.97,3198.76
1,10001,1340,1050,86866.66667,4380.66,3163.0
2,10002,2690,1990,86434.17085,4510.06,3111.1
3,10003,3340,2730,87040.65934,3834.72,3183.88
4,10004,200,160,84656.25,2835.77,2897.75
5,10005,660,550,87225.45455,3824.5,3206.05
6,10007,220,180,86327.77777999999,2043.29,2939.33
7,10009,3710,2700,86843.7037,4669.43,3160.24
8,10010,1950,1570,87537.57962,4387.72,3243.51
9,10011,3260,2670,87403.74532,4046.11,3227.45
10,10012,1420,1080,87440.74074,3801.39,3231.89
11,10013,1140,870,87017.24137999999,3033.81,3181.07
12,10014,2110,1720,87284.30232999999,3902.26,3213.12
13,10016,3880,3150,87137.14286,3958.18,3195.46
14,10017,1290,1020,87449.01961,3945.39,3232.88
15,10018,640,490,87502.04082000001,3458.22,3239.24
16,10019,2570,2050,87216.58537,3988.63,3204.99
17,10021,2520,2030,87078.81773,3780.69,3188.46
18,10022,2100,1710,87034.50292,3521.49,3183.14
19,10023,3320,2630,87076.80608,3774.16,3188.22
20,10024,2840,2220,87129.27928,3708.04,3194.51
21,10025,4180,3030,87135.31353,4230.33,3195.24
22,10026,1440,1110,87137.83784,4345.73,3195.54
23,10027,1770,1300,86532.30769,4435.96,3122.88
24,10028,2930,2280,87291.66667,3859.59,3214.0
25,10029,1820,1210,86544.6281,4524.03,3124.36
26,10030,730,530,86924.5283,4236.07,3169.94
27,10031,1640,1170,85518.80342000001,4282.44,3001.26
28,10032,1470,1010,86495.0495,4415.52,3118.41
29,10033,1530,1000,86289.0,4490.0,3093.68
30,10034,1350,890,86602.24719,4535.53,3131.27
31,10035,930,720,85752.77777999999,4444.42,3029.33
32,10036,2020,1560,87058.97436000001,3679.05,3186.08
33,10037,1010,760,86765.78947,4739.0,3150.89
34,10038,1120,860,87086.04651,4587.94,3189.33
35,10039,750,550,85625.45455,4562.12,3014.05
36,10040,1360,870,85856.32184,4539.06,3041.76
37,10044,450,310,88451.6129,4514.11,3353.19
38,10065,1680,1340,87350.74627,3613.95,3221.09
39,10069,180,140,86571.42857,2243.93,2743.57
40,10075,1650,1310,87435.87786000001,3686.68,3231.31
41,10128,3690,2860,86892.30769,3817.65,3166.08
42,10280,450,340,87497.05882,3127.37,3238.65
43,10301,1690,1270,86898.4252,4189.21,3166.81
44,10302,660,510,86941.17647,4181.4,3171.94
45,10303,1010,820,86887.80488,4286.86,3165.54
46,10304,1470,1160,87377.58621000001,4125.35,3224.31
47,10305,2030,1580,87405.06328999999,4306.41,3227.61
48,10306,2950,2300,87261.73913,4186.99,3210.41
49,10307,640,510,88398.03922,4019.36,3346.76
50,10308,1660,1320,87508.33333,4243.46,3240.0
51,10309,1630,1360,87269.11765,3908.93,3211.29
52,10310,1030,810,87450.61727999999,4241.79,3233.07
53,10312,3460,2790,87299.64158,4106.6,3214.96
54,10314,4650,3630,87165.84022,4232.8,3198.9
55,10451,1000,730,86116.43836,4788.25,3072.97
56,10452,960,660,85807.57576,4320.6,3035.91
57,10453,880,630,86188.88889,4203.03,3081.67
58,10454,330,230,86608.69565,4133.2,3132.04
59,10455,510,360,86308.33333,4609.4,3096.0
60,10456,950,660,85748.48485,4427.45,3028.82
61,10457,800,560,86178.57143,4073.88,3080.43
62,10458,1130,760,86085.52632,4475.2,3069.26
63,10459,650,470,85085.10638,4009.01,2949.21
64,10460,770,580,86141.37931,4291.12,3075.97
65,10461,2260,1570,86543.94903999999,4217.41,3124.27
66,10462,3060,2110,86318.00948,4487.89,3097.16
67,10463,3130,2140,86740.18692000001,4829.07,3147.82
68,10464,250,200,84080.0,3738.98,2828.6
69,10465,2150,1620,87054.93827,4061.1,3185.59
70,10466,2090,1640,86677.43902,3991.01,3140.29
71,10467,2140,1510,85863.57616,4374.01,3042.63
72,10468,1320,900,86363.33333,4726.51,3102.6
73,10469,2530,2000,86275.0,3870.37,3092.0
74,10470,660,470,87206.38298,4457.09,3203.77
75,10471,1260,960,86975.0,4613.35,3176.0
76,10472,1010,700,85717.14286,4285.21,3025.06
77,10473,1790,1370,86324.08759,4236.32,3097.89
78,10474,130,100,84520.0,4371.83,2881.4
79,10475,2400,1740,86452.29885,5397.5,3113.28
80,10501,60,30,96900.0,4870.0,4367.0
81,10502,240,180,85983.33333,2798.19,3057.0
82,10504,270,190,86884.21053,2554.29,3165.11
83,10506,150,110,88890.90909,1923.64,3094.58
84,10507,200,130,88384.61537999999,4354.34,3345.15
85,10509,970,690,87450.72464,4439.63,3233.09
86,10510,290,200,89875.0,3273.83,3524.0
87,10511,110,70,93657.14286,5007.57,3977.86
88,10512,1340,1000,87564.0,4264.67,3246.68
89,10514,250,180,89533.33333,2499.77,3446.42
90,10516,280,170,89558.82353,4710.07,3486.06
91,10518,50,30,95733.33333,5022.5,4227.0
92,10520,580,380,86905.26316,3876.25,3167.63
93,10522,500,330,87360.60606,3436.35,3222.27
94,10523,490,300,87393.33333,3833.66,3226.2
95,10524,220,160,87731.25,3703.71,3266.75
96,10526,70,50,84280.0,3794.5,2852.6
97,10528,530,330,88106.06061,3864.87,3311.73
98,10530,870,650,87280.0,4242.28,3212.6
99,10532,250,190,89621.05262999999,4271.6,3493.53
100,10533,340,230,88730.43478,3828.67,3386.65
101,10536,350,230,87543.47826,2616.34,3244.22
102,10537,150,120,83916.66667,3946.05,2809.0
103,10538,590,380,87963.15789,3864.55,3294.58
104,10541,1290,980,87504.08163,4013.89,3239.49
105,10543,870,540,86701.85185,3740.69,3143.22
106,10546,60,40,86925.0,3928.75,3170.0
107,10547,350,260,87011.53846,4050.64,3180.38
108,10548,170,110,87836.36364,4550.29,3279.36
109,10549,580,390,85338.46154,4024.43,2979.62
110,10550,1170,800,86852.5,3867.16,3161.3
111,10552,1260,910,87161.53846,4212.99,3198.38
112,10553,490,360,87961.11111,3810.3,3294.33
113,10560,170,120,90608.33333,3715.19,3612.0
114,10562,1500,1040,87344.23077000001,4088.69,3220.31
115,10566,1070,730,87360.27397000001,4574.73,3222.23
116,10567,930,700,87101.42857,3928.04,3191.17
117,10570,460,310,85580.64516,3270.36,3008.68
118,10573,1290,820,87328.04878,4020.18,3218.37
119,10576,180,130,84223.07692,1816.39,2771.86
120,10577,90,50,89680.0,2599.5,3386.6
121,10579,480,360,87547.22222000001,3893.29,3244.67
122,10580,500,320,87556.25,2892.51,3245.75
123,10583,1290,950,87296.84211,3261.18,3214.62
124,10588,130,100,85300.0,3867.41,2975.0
125,10589,530,360,86975.0,4474.17,3176.0
126,10590,260,190,84873.68421,3406.68,2923.84
127,10591,1060,630,87619.04762,4060.83,3253.29
128,10594,230,160,86818.75,3774.28,3157.25
129,10595,300,210,88385.71429,3692.2,3345.29
130,10598,1330,1020,88163.72549,3989.58,3318.65
131,10601,560,330,87851.51515,4834.92,3281.18
132,10603,1090,760,86806.57895,4287.53,3155.79
133,10604,510,320,88165.625,3874.89,3318.88
134,10605,900,660,86960.60606,3864.81,3174.27
135,10606,570,340,86614.70588,3846.94,3132.76
136,10607,340,270,86637.03704,3452.22,3135.44
137,10701,2010,1350,87063.7037,4403.87,3186.64
138,10703,1020,710,87316.90141,4423.0,3217.03
139,10704,1990,1370,87233.57664,4488.07,3207.03
140,10705,1230,850,86903.52941,4359.3,3167.42
141,10706,410,270,88781.48148,3973.68,3392.78
142,10707,520,350,86702.85714,3787.66,3143.34
143,10708,1230,910,86630.76922999999,4487.11,3134.69
144,10709,470,320,88034.375,3923.27,3303.12
145,10710,1720,1300,86814.61537999999,4186.53,3156.75
146,10801,1600,1050,87383.80952000001,3911.81,3225.06
147,10803,460,320,86246.875,3176.95,3088.62
148,10804,520,410,86412.19512,2835.14,3108.46
149,10805,1080,680,86530.88235,4518.51,3122.71
150,10901,1060,780,88008.97436000001,4042.98,3300.08
151,10913,230,180,87955.55556000001,3610.1,3293.67
152,10916,230,160,88725.0,4199.22,3386.0
153,10917,90,60,93300.0,4555.5,3935.0
154,10918,590,440,87952.27273,4303.59,3293.27
155,10919,60,50,84740.0,4017.25,2907.8
156,10920,480,370,87756.75676,4049.14,3269.81
157,10921,230,160,89556.25,4731.32,3485.75
158,10923,470,330,87715.15152,3919.01,3264.82
159,10924,600,410,87614.63415,4082.89,3252.76
160,10925,300,230,87460.86957000001,4533.32,3234.3
161,10926,200,140,87871.42857,4647.19,3283.57
162,10927,320,200,87995.0,4162.96,3298.4
163,10928,230,130,86069.23077000001,4229.16,3067.31
164,10930,460,370,88927.02703,4504.85,3410.24
165,10931,60,40,81300.0,2975.0,2495.0
166,10940,2180,1510,86945.69536,4492.34,3172.48
167,10941,720,460,87554.34783,4581.98,3245.52
168,10950,1550,1160,87661.2069,4136.72,3258.34
169,10952,810,550,87681.81818,2711.62,3013.28
170,10954,1290,910,87945.05495,4159.29,3292.41
171,10956,1440,1110,87951.35135,3676.59,3293.16
172,10958,170,110,86709.09091,4370.7,3144.09
173,10960,730,450,86071.11111,3517.27,3067.53
174,10962,260,190,87000.0,3697.02,3179.0
175,10963,150,110,85290.90909,4401.14,2973.91
176,10964,60,40,77375.0,2068.75,2024.0
177,10965,820,580,87274.13793,3915.48,3211.9
178,10968,170,110,85872.72727,3269.45,3043.73
179,10969,70,40,89550.0,4512.5,3485.0
180,10970,540,380,86052.63158,3913.78,3065.32
181,10973,130,100,85750.0,4116.58,3029.0
182,10974,160,130,86507.69231,3754.38,3119.92
183,10976,50,40,88800.0,3816.25,3392.0
184,10977,1530,1140,87099.12281,3740.25,3190.89
185,10980,710,500,87676.0,3838.2,3260.12
186,10983,280,210,87057.14286,3878.72,3185.86
187,10984,150,120,86833.33333,3784.19,3159.0
188,10986,90,60,80833.33333,3024.75,2439.0
189,10987,150,100,84970.0,3308.21,2935.4
190,10989,580,440,86797.72727,3953.12,3154.73
191,10990,1000,720,87308.33333,4225.04,3216.0
192,10992,510,370,89181.08107999999,4566.89,3440.73
193,10993,200,160,84875.0,3798.13,2924.0
194,10994,380,290,88210.34483,3671.64,3324.24
195,10998,190,140,86257.14286,4120.09,3089.86
