,zip,Filers,Itemizers,AGI,pre-tcja-tax,current-law-tax
0,0,1233950,1066590,139084.7458,15637.62,15197.64
1,10001,2480,2240,141750.4464,15955.12,15784.1
2,10002,3530,3130,137491.6933,15146.89,14847.17
3,10003,6580,6140,142335.6678,15094.9,15912.85
4,10004,520,480,145660.4167,14474.41,16310.15
5,10005,1360,1250,143745.6,14176.05,15828.16
6,10006,650,590,144196.6102,15576.93,16322.25
7,10007,570,540,145703.7037,13432.21,15916.62
8,10009,5100,4440,137450.9009,15693.99,14838.2
9,10010,3950,3580,141760.8939,15521.79,15786.4
10,10011,6970,6570,143407.4581,15282.88,16148.64
11,10012,2790,2550,141590.9804,14342.87,15749.02
12,10013,2040,1850,141889.1892,12918.36,15293.25
13,10014,4620,4340,142465.8986,15020.2,15941.5
14,10016,7210,6710,140994.7839,14478.56,15617.85
15,10017,2840,2490,142651.8072,14612.56,15982.4
16,10018,1220,1110,142801.8018,14411.45,16015.4
17,10019,5270,4840,142052.4793,14975.09,15850.55
18,10021,4970,4550,141985.9341,14416.83,15835.91
19,10022,4630,4250,143911.2941,14735.08,16259.48
20,10023,7350,6760,143605.4734,15118.06,16192.2
21,10024,6280,5670,143726.455,14917.85,16218.82
22,10025,7580,6640,142708.7349,15846.94,15994.92
23,10026,1840,1640,137701.8293,14946.74,14788.89
24,10027,2380,2060,138521.8447,15329.98,15073.81
25,10028,5400,4900,140637.551,14411.21,15539.26
26,10029,1770,1500,135320.0,14604.69,14369.4
27,10030,660,580,132682.7586,13551.54,13163.51
28,10031,1430,1210,133251.2397,14333.03,13914.27
29,10032,1400,1180,132938.9831,14176.41,13845.58
30,10033,1910,1560,137064.7436,15199.47,14753.24
31,10034,1470,1180,136645.7627,15495.17,14661.07
32,10035,990,870,134370.1149,14708.59,14160.43
33,10036,3710,3360,140137.5,14027.93,15101.03
34,10037,910,790,131170.8861,14142.96,13456.59
35,10038,2210,2020,142277.7228,15977.13,15900.1
36,10039,680,610,132404.918,14606.81,13728.08
37,10040,1370,1140,136724.5614,15340.24,14678.4
38,10044,850,680,142423.5294,16050.6,15932.18
39,10065,3220,2920,143210.9589,14127.0,16105.41
40,10069,560,510,149509.8039,14600.82,16469.87
41,10075,3070,2820,140815.9574,14324.73,15578.51
42,10128,6410,5760,141827.2569,14504.82,15801.0
43,10280,1210,150,145477.2727,15022.01,16604.0
44,10282,390,1100,146742.8571,14285.53,16882.43
45,10301,2480,350,138441.3636,15177.82,15056.1
46,10302,990,2200,135962.2222,14941.75,14510.69
47,10303,1210,900,130630.0885,13721.83,13337.05
48,10304,2290,1130,136630.4762,14402.93,14546.33
49,10305,3010,2100,135844.8905,14953.52,14484.88
50,10306,5240,2740,138243.1866,15317.9,15012.5
51,10307,1490,4770,140509.8592,15060.99,15277.41
52,10308,3080,1420,139491.844,15481.98,15287.21
53,10309,3480,2820,141077.9817,15315.68,15483.2
54,10310,1830,3270,139701.1905,15542.89,15333.26
55,10312,6890,1680,138952.0701,15266.89,15168.46
56,10314,7880,6280,138407.0028,15285.73,15048.54
57,10451,700,7140,125201.6667,13620.68,12143.37
58,10452,500,600,124275.6098,12001.95,11939.63
59,10453,560,410,128595.8333,13280.62,12890.08
60,10454,230,480,150804.7619,18555.25,17776.05
61,10455,270,210,139363.6364,16536.82,15259.0
62,10456,520,220,124133.3333,12723.46,11908.33
63,10457,460,450,123402.5641,12034.55,11747.56
64,10458,760,390,126375.8065,12954.33,12401.68
65,10459,350,620,133553.125,14642.97,13980.69
66,10460,480,320,127764.2857,13165.24,12707.14
67,10461,2530,420,132262.6168,13954.86,13696.78
68,10462,2360,2140,127392.8205,13326.46,12625.42
69,10463,4270,1950,137925.5618,16119.9,14942.62
70,10464,420,3560,138869.4444,15410.12,15150.28
71,10465,3060,360,135426.9091,14656.09,14392.92
72,10466,1890,2750,129983.7209,13077.89,12815.32
73,10467,1690,1720,127599.2958,13174.48,12670.85
74,10468,840,1420,126197.1429,13451.56,12362.37
75,10469,2690,700,132452.0492,13568.95,13437.58
76,10470,860,2440,133417.1053,14436.74,13950.76
77,10471,2060,760,138883.6158,15841.53,15153.4
78,10472,720,1770,127606.4516,12876.72,12672.42
79,10473,1620,620,129651.3699,13317.9,12890.57
80,10474,70,1460,160783.3333,21040.83,19971.33
81,10475,1790,60,126022.2973,14494.2,12323.91
82,10501,150,1480,147728.5714,16480.99,17099.29
83,10502,640,140,147551.6667,15246.67,17060.37
84,10504,800,600,146563.7681,14460.08,16312.28
85,10505,100,690,152100.0,16653.13,18000.94
86,10506,440,90,147590.0,13558.89,16113.97
87,10507,440,400,139935.1351,14799.06,15384.73
88,10509,2110,370,141114.359,16162.61,15644.16
89,10510,1020,1950,146686.3158,15208.35,16753.57
90,10511,230,950,135580.9524,14973.52,14426.81
91,10512,2880,210,140304.9242,15819.1,15466.08
92,10514,840,2640,148594.8718,14059.98,16464.18
93,10516,650,780,143516.0714,16465.58,16172.54
94,10518,160,560,146214.2857,15966.74,16349.33
95,10520,1390,140,144162.0968,16056.91,16314.66
96,10522,1100,1240,143254.8387,15218.23,16115.06
97,10523,840,930,138965.6716,14861.63,15168.99
98,10524,500,670,140886.9565,15265.5,15594.13
99,10526,210,460,143036.8421,15376.72,16019.62
100,10527,120,190,148554.5455,16092.95,16990.6
101,10528,980,110,142762.3377,14883.56,15876.03
102,10530,1820,770,141623.1707,16075.17,15756.1
103,10532,700,1640,143387.5,15843.61,16144.25
104,10533,770,640,144711.9403,15198.72,16435.63
105,10535,70,670,172200.0,22840.0,22483.0
106,10536,1000,60,148655.4348,15556.51,17055.35
107,10537,230,920,134376.1905,15184.52,14161.76
108,10538,1300,210,145772.4138,14796.86,16570.34
109,10541,3110,1160,142210.3448,15776.15,15885.28
110,10543,1670,2900,141891.6667,15235.17,15815.17
111,10546,160,1440,140326.6667,14636.71,15397.02
112,10547,810,150,140955.4054,15941.31,15609.19
113,10548,390,740,143285.2941,17240.99,16121.76
114,10549,1240,340,144576.1468,16015.4,16405.75
115,10550,990,1090,128414.4578,12520.71,12701.53
116,10552,1840,830,136996.8944,14438.09,14738.32
