,zip,Filers,Itemizers,AGI,pre-tcja-tax,current-law-tax
0,0,817760,536320,87164.66288999999,10917.03,10790.36
1,10001,1340,1050,86866.66667,10988.18,11039.14
2,10002,2690,1990,86434.17085,11203.85,11044.92
3,10003,3340,2730,87040.65934,10078.29,10981.75
4,10004,200,160,84656.25,8413.37,9406.1
5,10005,660,550,87225.45455,10061.26,10410.29
6,10007,220,180,86327.77777999999,7092.57,9360.11
7,10009,3710,2700,86843.7037,11469.46,11243.59
8,10010,1950,1570,87537.57962,10999.96,11431.42
9,10011,3260,2670,87403.74532,10430.6,11058.87
10,10012,1420,1080,87440.74074,10022.74,10707.3
11,10013,1140,870,87017.24137999999,8743.44,9957.83
12,10014,2110,1720,87284.30232999999,10190.86,10897.18
13,10016,3880,3150,87137.14286,10284.04,10906.56
14,10017,1290,1020,87449.01961,10262.74,10974.1
15,10018,640,490,87502.04082000001,9450.79,10535.73
16,10019,2570,2050,87216.58537,10334.8,10943.51
17,10021,2520,2030,87078.81773,9988.24,11055.62
18,10022,2100,1710,87034.50292,9556.24,10934.33
19,10023,3320,2630,87076.80608,9977.36,10986.94
20,10024,2840,2220,87129.27928,9867.15,10839.73
21,10025,4180,3030,87135.31353,10737.63,10858.84
22,10026,1440,1110,87137.83784,10929.96,10407.65
23,10027,1770,1300,86532.30769,11080.35,10667.97
24,10028,2930,2280,87291.66667,10119.73,11198.22
25,10029,1820,1210,86544.6281,11227.13,10684.92
26,10030,730,530,86924.5283,10747.19,10134.73
27,10031,1640,1170,85518.80342000001,10824.49,10258.38
28,10032,1470,1010,86495.0495,11046.28,10539.08
29,10033,1530,1000,86289.0,11170.41,10718.73
30,10034,1350,890,86602.24719,11246.31,10741.16
31,10035,930,720,85752.77777999999,11094.45,10440.31
32,10036,2020,1560,87058.97436000001,9818.83,10571.37
33,10037,1010,760,86765.78947,11585.42,10872.37
34,10038,1120,860,87086.04651,11333.64,11381.8
35,10039,750,550,85625.45455,11290.61,10612.94
36,10040,1360,870,85856.32184,11252.19,10691.78
37,10044,450,310,88451.6129,11210.6,11442.42
38,10065,1680,1340,87350.74627,9710.33,10966.0
39,10069,180,140,86571.42857,7426.96,9001.21
40,10075,1650,1310,87435.87786000001,9831.56,10979.65
41,10128,3690,2860,86892.30769,10049.84,10945.46
42,10280,450,340,87497.05882,8899.37,10380.02
43,10301,1690,1270,86898.4252,10669.09,10392.0
44,10302,660,510,86941.17647,10656.09,10192.14
45,10303,1010,820,86887.80488,10831.84,10262.92
46,10304,1470,1160,87377.58621000001,10562.67,10342.15
47,10305,2030,1580,87405.06328999999,10864.43,10474.79
48,10306,2950,2300,87261.73913,10665.4,10389.64
49,10307,640,510,88398.03922,10386.02,10463.13
50,10308,1660,1320,87508.33333,10759.52,10477.08
51,10309,1630,1360,87269.11765,10201.96,10226.55
52,10310,1030,810,87450.61727999999,10756.73,10334.75
53,10312,3460,2790,87299.64158,10531.42,10354.45
54,10314,4650,3630,87165.84022,10741.75,10400.92
55,10451,1000,730,86116.43836,11667.49,10944.6
56,10452,960,660,85807.57576,10888.09,10258.72
57,10453,880,630,86188.88889,10692.13,10208.73
58,10454,330,230,86608.69565,10575.76,10038.52
59,10455,510,360,86308.33333,11369.41,10682.28
60,10456,950,660,85748.48485,11066.17,10415.43
61,10457,800,560,86178.57143,10476.88,9896.85
62,10458,1130,760,86085.52632,11145.76,10652.67
63,10459,650,470,85085.10638,10368.76,9801.71
64,10460,770,580,86141.37931,10838.95,10297.17
