,gross_income,employee_payroll_tax,employer_payroll_tax,ordinary_income_after_401k,agi,taxable_income,deduction_type,deductions,personal_exemption_amt,pease_limitation_amt,income_tax_before_credits,qualified_income_tax,selected_tax_before_credits,amt,income_tax_before_credits_with_amt,ctc,actc,eitc,income_tax_after_nonrefundable_credits,income_tax_after_credits,tax_burden,tax_wedge,avg_effective_tax_rate,avg_effective_tax_rate_wo_payroll
9297,929800.0,0.0,0.0,0.0,929800.0,917800.0,standard,93357.5,0.0,0,312349.0,227991.0,227991.0,0,227991.0,0,0,0.0,227991.0,227991.0,227991.0,227991.0,0.2452,0.2452
9298,929900.0,0.0,0.0,0.0,929900.0,917900.0,standard,93366.25,0.0,0,312387.5,228018.5,228018.5,0,228018.5,0,0,0.0,228018.5,228018.5,228018.5,228018.5,0.2452,0.2452
9299,930000.0,0.0,0.0,0.0,930000.0,918000.0,standard,93375.0,0.0,0,312426.0,228046.0,228046.0,0,228046.0,0,0,0.0,228046.0,228046.0,228046.0,228046.0,0.2452,0.2452
9300,930100.0,0.0,0.0,0.0,930100.0,918100.0,standard,93383.75,0.0,0,312464.5,228073.5,228073.5,0,228073.5,0,0,0.0,228073.5,228073.5,228073.5,228073.5,0.2452,0.2452
9301,930200.0,0.0,0.0,0.0,930200.0,918200.0,standard,93392.5,0.0,0,312503.0,228101.0,228101.0,0,228101.0,0,0,0.0,228101.0,228101.0,228101.0,228101.0,0.2452,0.2452
9302,930300.0,0.0,0.0,0.0,930300.0,918300.0,standard,93401.25,0.0,0,312541.5,228128.5,228128.5,0,228128.5,0,0,0.0,228128.5,228128.5,228128.5,228128.5,0.2452,0.2452
9303,930400.0,0.0,0.0,0.0,930400.0,918400.0,standard,93410.0,0.0,0,312580.0,228156.0,228156.0,0,228156.0,0,0,0.0,228156.0,228156.0,228156.0,228156.0,0.2452,0.2452
9304,930500.0,0.0,0.0,0.0,930500.0,918500.0,standard,93418.75,0.0,0,312618.5,228183.5,228183.5,0,228183.5,0,0,0.0,228183.5,228183.5,228183.5,228183.5,0.2452,0.2452
9305,930600.0,0.0,0.0,0.0,930600.0,918600.0,standard,93427.5,0.0,0,312657.0,228211.0,228211.0,0,228211.0,0,0,0.0,228211.0,228211.0,228211.0,228211.0,0.2452,0.2452
9306,930700.0,0.0,0.0,0.0,930700.0,918700.0,standard,93436.25,0.0,0,312695.5,228238.5,228238.5,0,228238.5,0,0,0.0,228238.5,228238.5,228238.5,228238.5,0.2452,0.2452
9307,930800.0,0.0,0.0,0.0,930800.0,918800.0,standard,93445.0,0.0,0,312734.0,228266.0,228266.0,0,228266.0,0,0,0.0,228266.0,228266.0,228266.0,228266.0,0.2452,0.2452
9308,930900.0,0.0,0.0,0.0,930900.0,918900.0,standard,93453.75,0.0,0,312772.5,228293.5,228293.5,0,228293.5,0,0,0.0,228293.5,228293.5,228293.5,228293.5,0.2452,0.2452
9309,931000.0,0.0,0.0,0.0,931000.0,919000.0,standard,93462.5,0.0,0,312811.0,228321.0,228321.0,0,228321.0,0,0,0.0,228321.0,228321.0,228321.0,228321.0,0.2452,0.2452
9310,931100.0,0.0,0.0,0.0,931100.0,919100.0,standard,93471.25,0.0,0,312849.5,228348.5,228348.5,0,228348.5,0,0,0.0,228348.5,228348.5,228348.5,228348.5,0.2452,0.2452
9311,931200.0,0.0,0.0,0.0,931200.0,919200.0,standard,93480.0,0.0,0,312888.0,228376.0,228376.0,0,228376.0,0,0,0.0,228376.0,228376.0,228376.0,228376.0,0.2452,0.2452
9312,931300.0,0.0,0.0,0.0,931300.0,919300.0,standard,93488.75,0.0,0,312926.5,228403.5,228403.5,0,228403.5,0,0,0.0,228403.5,228403.5,228403.5,228403.5,0.2453,0.2453
9313,931400.0,0.0,0.0,0.0,931400.0,919400.0,standard,93497.5,0.0,0,312965.0,228431.0,228431.0,0,228431.0,0,0,0.0,228431.0,228431.0,228431.0,228431.0,0.2453,0.2453
9314,931500.0,0.0,0.0,0.0,931500.0,919500.0,standard,93506.25,0.0,0,313003.5,228458.5,228458.5,0,228458.5,0,0,0.0,228458.5,228458.5,228458.5,228458.5,0.2453,0.2453
9315,931600.0,0.0,0.0,0.0,931600.0,919600.0,standard,93515.0,0.0,0,313042.0,228486.0,228486.0,0,228486.0,0,0,0.0,228486.0,228486.0,228486.0,228486.0,0.2453,0.2453
9316,931700.0,0.0,0.0,0.0,931700.0,919700.0,standard,93523.75,0.0,0,313080.5,228513.5,228513.5,0,228513.5,0,0,0.0,228513.5,228513.5,228513.5,228513.5,0.2453,0.2453
