,gross_income,employee_payroll_tax,employer_payroll_tax,ordinary_income_after_401k,agi,taxable_income,deduction_type,deductions,personal_exemption_amt,pease_limitation_amt,income_tax_before_credits,qualified_income_tax,selected_tax_before_credits,amt,income_tax_before_credits_with_amt,ctc,actc,eitc,personal_credit,income_tax_after_nonrefundable_credits,income_tax_after_credits,tax_burden,tax_wedge,avg_effective_tax_rate,avg_effective_tax_rate_wo_payroll
9446,944700.0,0.0,0.0,0.0,944700.0,932500.0,standard,12200.0,0.0,0,320420.0,154750.0,154750.0,0,154750.0,0,0,0.0,300,154450.0,154450.0,154450.0,154450.0,0.1635,0.1635
9447,944800.0,0.0,0.0,0.0,944800.0,932600.0,standard,12200.0,0.0,0,320459.6,154770.0,154770.0,0,154770.0,0,0,0.0,300,154470.0,154470.0,154470.0,154470.0,0.1635,0.1635
9448,944900.0,0.0,0.0,0.0,944900.0,932700.0,standard,12200.0,0.0,0,320499.2,154790.0,154790.0,0,154790.0,0,0,0.0,300,154490.0,154490.0,154490.0,154490.0,0.1635,0.1635
9449,945000.0,0.0,0.0,0.0,945000.0,932800.0,standard,12200.0,0.0,0,320538.8,154810.0,154810.0,0,154810.0,0,0,0.0,300,154510.0,154510.0,154510.0,154510.0,0.1635,0.1635
9450,945100.0,0.0,0.0,0.0,945100.0,932900.0,standard,12200.0,0.0,0,320578.4,154830.0,154830.0,0,154830.0,0,0,0.0,300,154530.0,154530.0,154530.0,154530.0,0.1635,0.1635
9451,945200.0,0.0,0.0,0.0,945200.0,933000.0,standard,12200.0,0.0,0,320618.0,154850.0,154850.0,0,154850.0,0,0,0.0,300,154550.0,154550.0,154550.0,154550.0,0.1635,0.1635
9452,945300.0,0.0,0.0,0.0,945300.0,933100.0,standard,12200.0,0.0,0,320657.6,154870.0,154870.0,0,154870.0,0,0,0.0,300,154570.0,154570.0,154570.0,154570.0,0.1635,0.1635
9453,945400.0,0.0,0.0,0.0,945400.0,933200.0,standard,12200.0,0.0,0,320697.2,154890.0,154890.0,0,154890.0,0,0,0.0,300,154590.0,154590.0,154590.0,154590.0,0.1635,0.1635
9454,945500.0,0.0,0.0,0.0,945500.0,933300.0,standard,12200.0,0.0,0,320736.8,154910.0,154910.0,0,154910.0,0,0,0.0,300,154610.0,154610.0,154610.0,154610.0,0.1635,0.1635
9455,945600.0,0.0,0.0,0.0,945600.0,933400.0,standard,12200.0,0.0,0,320776.4,154930.0,154930.0,0,154930.0,0,0,0.0,300,154630.0,154630.0,154630.0,154630.0,0.1635,0.1635
9456,945700.0,0.0,0.0,0.0,945700.0,933500.0,standard,12200.0,0.0,0,320816.0,154950.0,154950.0,0,154950.0,0,0,0.0,300,154650.0,154650.0,154650.0,154650.0,0.1635,0.1635
9457,945800.0,0.0,0.0,0.0,945800.0,933600.0,standard,12200.0,0.0,0,320855.6,154970.0,154970.0,0,154970.0,0,0,0.0,300,154670.0,154670.0,154670.0,154670.0,0.1635,0.1635
9458,945900.0,0.0,0.0,0.0,945900.0,933700.0,standard,12200.0,0.0,0,320895.2,154990.0,154990.0,0,154990.0,0,0,0.0,300,154690.0,154690.0,154690.0,154690.0,0.1635,0.1635
9459,946000.0,0.0,0.0,0.0,946000.0,933800.0,standard,12200.0,0.0,0,320934.8,155010.0,155010.0,0,155010.0,0,0,0.0,300,154710.0,154710.0,154710.0,154710.0,0.1635,0.1635
9460,946100.0,0.0,0.0,0.0,946100.0,933900.0,standard,12200.0,0.0,0,320974.4,155030.0,155030.0,0,155030.0,0,0,0.0,300,154730.0,154730.0,154730.0,154730.0,0.1635,0.1635
9461,946200.0,0.0,0.0,0.0,946200.0,934000.0,standard,12200.0,0.0,0,321014.0,155050.0,155050.0,0,155050.0,0,0,0.0,300,154750.0,154750.0,154750.0,154750.0,0.1635,0.1635
9462,946300.0,0.0,0.0,0.0,946300.0,934100.0,standard,12200.0,0.0,0,321053.6,155070.0,155070.0,0,155070.0,0,0,0.0,300,154770.0,154770.0,154770.0,154770.0,0.1636,0.1636
